Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”
Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149
,,,,,,,,,,,,,,,,,,,
,,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,,,,
FY 2011 Adopted Capital Projects Fund,FY 2011 Adopted Capital Projects Fund,,,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,,,,,,,,,
,,,FY 2011,,,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,Beyond,,
,,,Adopted,Prior Year,Prior Year,,Adopted,,Adopted,,Adopted,,Adopted,,Adopted,,FY 2015,,
,Project,,Budget,Funding,,,Project,,Project,,Project,,Project,,Project,,Project,,Total Cost
School Projects,,,,,,,,,,,,,,,,,,,
High School Forum Renovation,High School Forum Renovation,$,-,$,-,$,-,$,-,$,-,$,-,$,"2,500,000",$,-,$,"2,500,000"
High School Track,,,-,,-,,-,,-,,-,,"300,000",,-,,-,,"300,000"
High School Locker Room Renovation,High School Locker Room Renovation,,-,,-,,-,,-,,-,,"66,000",,-,,-,,"66,000"
High School HVAC,,,-,,-,,-,,-,,-,,-,,"75,000",,-,,"75,000"
High School Pavement,High School Pavement,,-,,-,,-,,-,,-,,-,,"80,000",,-,,"80,000"
Primary School HVAC Replacement,Primary School HVAC Replacement,,-,,-,,-,,"145,000",,-,,-,,-,,-,,"145,000"
Primary School,Parking Lot,,-,,-,,-,,-,,-,,-,,"66,000",,-,,"66,000"
Primary School Roof Replacement,Primary School Roof Replacement,,-,,-,,-,,-,,-,,-,,"350,000",,-,,"350,000"
Middle School Locker Room Renovation,Middle School Locker Room Renovation,,-,,-,,-,,"210,600",,-,,-,,-,,-,,"210,600"
Middle School Gym Roof,Middle School Gym Roof,,-,,-,,-,,-,,"110,000",,-,,-,,-,,"110,000"
Middle School Renovation,Middle School Renovation,,-,,-,,-,,"1,071,000",,"11,015,000",,-,,-,,-,,"12,086,000"
District-wide Electronic Door Access,District-wide Electronic Door Access,,-,,-,,-,,-,,-,,"52,000",,-,,-,,"52,000"
Bus Replacement,,,-,,-,,"130,000",,"153,000",,"65,000",,"65,000",,"153,000",,-,,"566,000"
Conversion of T12 Flourescents to T8,Conversion of T12 Flourescents to T8,,-,,-,,-,,"50,000",,-,,-,,-,,-,,"50,000"
Total School Projects,Total School Projects,$,-,$,-,$,"130,000",$,"1,629,600",$,"11,190,000",$,"483,000",$,"3,224,000",$,-,$,"16,656,600"
Transportation and Drainage Projects,Transportation and Drainage Projects,,,,,,,,,,,,,,,,,,
Street Paving,,$,"198,000",$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
Drainage Projects,,,"194,000",,-,,-,,-,,-,,-,,-,,-,,-
Wythe Creek Road South,Wythe Creek Road South,,-,"4,159,000","4,159,000",,"200,000",,"400,000",,"1,645,850",,"1,458,288",,"8,295,862",,-,,"16,159,000"
Neighborhood Drainage Projects,Neighborhood Drainage Projects,,-,,-,,"194,000",,"350,000",,"396,000",,"40,000",,-,,-,,"980,000"
Poq Ave/Little Florida Rd Realignment,Poq Ave/Little Florida Rd Realignment,,-,,-,,-,,-,,-,,-,,-,,-,,-
"ROW Acquisition, Bike paths & Sidewalks","ROW Acquisition, Bike paths & Sidewalks",,-,,-,,"500,000",,-,,-,,-,,-,,-,,"500,000"
Total Transportation and Drainage Projects,Total Transportation and Drainage Projects,$,"392,000","$4,159,000","$4,159,000",$,"894,000",$,"750,000",$,"2,041,850",$,"1,498,288",$,"8,295,862",$,-,$,"17,639,000"
