Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”,Name: “Table 1 of 1 on page 102 of 239”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,,,,
,,,ENGINEERING,ENGINEERING,ENGINEERING,ENGINEERING,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2010,FY 2010,FY 2011,FY 2011,Change,Change,Change
,,FY 2008,,FY 2009,Revised,Revised,Adopted,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"110,101",$,"112,849",$,"81,188",$,"90,009",$,"8,821",10.9%
Operating Expenses,,"19,250",,"11,985",,"10,284",,"3,220",,"(7,064)",-68.7%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"129,351",$,"124,834",$,"91,472",$,"93,229",$,"1,757",1.9%
Personnel Summary,,,,FY 2008,,FY 2009,,FY 2010,,FY 2011,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Civil Engineer II,,,,1,,1,,1,,1,
Totals,,,,1,,1,,1,,1,
The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.
The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public
works function.,,,,,,,,,,,
Goals and Objectives,,,,,,,,,,,
* Complete Pump Station #2 capacity upgrade.,* Complete Pump Station #2 capacity upgrade.,* Complete Pump Station #2 capacity upgrade.,* Complete Pump Station #2 capacity upgrade.,,,,,,,,
* Complete design work for Wythe Creek Road South project.,* Complete design work for Wythe Creek Road South project.,* Complete design work for Wythe Creek Road South project.,* Complete design work for Wythe Creek Road South project.,* Complete design work for Wythe Creek Road South project.,* Complete design work for Wythe Creek Road South project.,* Complete design work for Wythe Creek Road South project.,,,,,
* Begin Sanitary Sewer Evaluation System (SSES) inspections.,* Begin Sanitary Sewer Evaluation System (SSES) inspections.,* Begin Sanitary Sewer Evaluation System (SSES) inspections.,* Begin Sanitary Sewer Evaluation System (SSES) inspections.,* Begin Sanitary Sewer Evaluation System (SSES) inspections.,* Begin Sanitary Sewer Evaluation System (SSES) inspections.,* Begin Sanitary Sewer Evaluation System (SSES) inspections.,,,,,
* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.,* Complete Virginia Pollutant Discharge Elimination System (VPDES) Phase II MS4 Permit required actions.
