Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”,Name: “Table 1 of 1 on page 88 of 239”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,,,,
,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2010,FY 2010,FY 2011,FY 2011,Change,Change,Change
,,FY 2008,,FY 2009,Revised,Revised,Adopted,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"101,541",$,"105,179",$,"108,335",$,"106,448",$,"(1,887)",-1.7%
Operating Expenses,,"26,496",,"21,374",,"25,280",,"27,780",,"2,500",9.9%
Capital Outlay,,"36,563",,914,,-,,-,,-,n/a
Totals,$,"164,600",$,"127,467",$,"133,615",$,"134,228",$,613,0.5%
"* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members",
"in the amount of $7,512.",,,,,,,,,,,
Personnel Summary,,,,,,,,,,,
,,,,FY 2008,,FY 2009,,FY 2010,,FY 2011,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Registrar,,,,1,,1,,1,,1,
Assistant Registrar,,,,1,,1,,1,,1,
Part Time (FTE),,,,0.1,,0.1,,0.1,,0.1,
Totals,,,,2.1,,2.1,,2.1,,2.1,
Goals and Objectives,,,,,,,,,,,
"* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and",
referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,,,,,
* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,
the provisions of the Code of Virginia.,the provisions of the Code of Virginia.,the provisions of the Code of Virginia.,,,,,,,,,
* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,
the United States.,,,,,,,,,,,
* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,,,,,,,
* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,* Increase voter registrations through use of National Voter Registration Act (NVRA).,,,
