Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”,Name: “Table 1 of 1 on page 104 of 239”
Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93
,,,,,,,,,,,
,,,PUBLIC WORKS,PUBLIC WORKS,PUBLIC WORKS,PUBLIC WORKS,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2010,,FY 2011,,Change,Change
,,FY 2008,,FY 2009,,Revised,,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"790,544",$,"827,744",$,"847,407",$,"905,233",$,"57,826",6.8%
Operating Expenses,,"160,791",,"148,413",,"151,020",,"310,722",,"159,702",105.7%
Capital Outlay,,"76,130",,"79,641",,"54,000",,"70,500",,"16,500",30.6%
Totals,"$ 1,027,465","$ 1,027,465","$ 1,055,798","$ 1,055,798","$ 1,052,427","$ 1,052,427","$ 1,286,455","$ 1,286,455",$,"234,028",22.2%
Personnel Summary,,,,FY 2008,,FY 2009,,FY 2010,,FY 2011,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,,Authorized,
Director of Public Works,,,,1,,1,,0,,1,
Deputy Director of Public Works,Deputy Director of Public Works,,,1,,1,,1,,0,
Construction Inspector,,,,1,,1,,1,,1,
Equipment Operations Foreman,Equipment Operations Foreman,,,1,,1,,1,,1,
Equipment Operator III,,,,1,,1,,1,,1,
Parks Maintenance Supervisor,Parks Maintenance Supervisor,,,0,,0,,0,,1,
Equipment Operator II,,,,1,,1,,1,,1,
Equipment Operator I,,,,1.5,,2,,2,,2,
Maintenance Worker lll,,,,3,,3,,3,,3,
Parks Maintenance Worker,,,,0,,0,,0,,1,
Maintenance Worker I,,,,4,,4,,4,,4,
Secretary (FTE),,,,0.5,,0.5,,0.5,,0.5,
Totals,,,,15,,15.5,,14.5,,16.5,
Goals and Objectives,,,,,,,,,,,
* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,
Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,
* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,,,,,,,
* Upgrade drainage system to include concrete swale on Laydon Way,* Upgrade drainage system to include concrete swale on Laydon Way,* Upgrade drainage system to include concrete swale on Laydon Way,* Upgrade drainage system to include concrete swale on Laydon Way,* Upgrade drainage system to include concrete swale on Laydon Way,* Upgrade drainage system to include concrete swale on Laydon Way,* Upgrade drainage system to include concrete swale on Laydon Way,,,,,
* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,
quality throughout the City.,"Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and",
"medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.",
* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,* Scheduling infrastructure maintenance using the departmental computer system to increase efficiency.,
* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,
"in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures",
for performance of specific tasks.,for performance of specific tasks.,for performance of specific tasks.,,,,,,,,,
* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,* Produce in-house work procedure videos to train employees in safe and efficient ways to complete jobs.,
* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,
* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,* Use time factors for each job in Public Works Department to assist in estimating work completion time,
and scheduling.,,,,,,,,,,,
* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,* Upgrade Hudgins and Yorktown Road traffic light to use generator power during emergencies.,,,
* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.
"* Widen street shoulders, if possible, on any street repaving project.","* Widen street shoulders, if possible, on any street repaving project.","* Widen street shoulders, if possible, on any street repaving project.","* Widen street shoulders, if possible, on any street repaving project.","* Widen street shoulders, if possible, on any street repaving project.","* Widen street shoulders, if possible, on any street repaving project.","* Widen street shoulders, if possible, on any street repaving project.",,,,,
"* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,","* Upgrade athletic facilities to meet expected increases in use. Efforts include core aeration, seeding,",
"fertilizing, grading, and adding needed infield mix to ballfields.","fertilizing, grading, and adding needed infield mix to ballfields.","fertilizing, grading, and adding needed infield mix to ballfields.","fertilizing, grading, and adding needed infield mix to ballfields.","fertilizing, grading, and adding needed infield mix to ballfields.","fertilizing, grading, and adding needed infield mix to ballfields.","fertilizing, grading, and adding needed infield mix to ballfields.",,,,,
,,,,60,,,,,,,
