Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”,Name: “Table 1 of 1 on page 84 of 239”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,,,,,,
,,,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2010,FY 2010,FY 2011,FY 2011,Change,Change,Change
,,FY 2008,,FY 2009,Revised,Revised,Adopted,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"4,272",,"34,635",,"17,090",,"19,000",,"1,910",11.2%
Capital Outlay,,-,,-,,-,,"20,000",,"20,000",n/a
Totals,$,"4,272",$,"34,635",$,"17,090",$,"39,000",$,"21,910",128.2%
Personnel Summary,,,,,,,,,,,
N/A,,,,,,,,,,,
Goals and Objectives,,,,,,,,,,,
* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.,* Maintenance and technical support for the City's GIS database and purchase of technology equipment.
,,,,40,,,,,,,
