Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”,Name: “Table 1 of 1 on page 231 of 239”
Table: 220,Table: 220,Table: 220,Table: 220,Table: 220,Table: 220,Table: 220,Table: 220,Table: 220,Table: 220,Table: 220
,,,,,,,,,,
,,,APPENDIX,APPENDIX,APPENDIX,,,,,
,,,DEBT SERVICE,DEBT SERVICE,DEBT SERVICE,DEBT SERVICE,,,,
Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,As the
"amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.",Credit industry standards,Credit industry standards,Credit industry standards
provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential
problem.,,,,,,,,,,
"As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 7.8% ratio of debt service to total operating expenditures is acceptable."
Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,,
,,,,Operating,Operating,Operating,Percent of,Percent of,,
Year,,Debt Service,Debt Service,Expenditures,Expenditures,Expenditures,Expenditures,Expenditures,,
2000,,"$1,479,556","$1,479,556","$20,645,634","$20,645,634","$20,645,634",7.2%,7.2%,,
2001,,"$2,160,329","$2,160,329","$21,742,499","$21,742,499","$21,742,499",9.9%,9.9%,,
2002,,"$1,597,319","$1,597,319","$22,785,888","$22,785,888","$22,785,888",7.0%,7.0%,,
2003,,"$1,531,171","$1,531,171","$24,262,997","$24,262,997","$24,262,997",6.3%,6.3%,,
2004,,"$1,508,041","$1,508,041","$26,555,078","$26,555,078","$26,555,078",5.7%,5.7%,,
2005,,"$1,565,026","$1,565,026","$29,411,819","$29,411,819","$29,411,819",5.3%,5.3%,,
2006,,"$1,521,475","$1,521,475","$30,829,867","$30,829,867","$30,829,867",4.9%,4.9%,,
2007,,"$2,130,921","$2,130,921","$33,965,811","$33,965,811","$33,965,811",6.3%,6.3%,,
2008,,"$2,753,677","$2,753,677","$36,393,471","$36,393,471","$36,393,471",7.6%,7.6%,,
2009,,"$2,841,369","$2,841,369","$36,440,375","$36,440,375","$36,440,375",7.8%,7.8%,,
Source:,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,,
,,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,,,
10.0%,,,,,,,,,,
9.0%,,,,,,,,,,
8.0%,,,,,,,,,,
7.0%,,,,,,,,,,
6.0%,,,,,,,,,,
5.0%,,,,,,,,,,
4.0%,,,,,,,,,,
3.0%,,,,,,,,,,
2.0%,,,,,,,,,,
1.0%,,,,,,,,,,
0.0%,,,,,,,,,,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
,,,,A-21,,,,,,
