Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”,Name: “Table 1 of 1 on page 220 of 239”
Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209,Table: 209
,,,,,,,,,,,
,,,,APPENDIX,APPENDIX,APPENDIX,,,,,
The,City,remains,overwhelmingly,dependent,upon,the,single-family,residential,taxpayer,base.,The
"Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-","Commissioner of the Revenue and City Assessor has furnished the assessed values for single-family, multi-"
"family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.","family residential property, commercial and agricultural property for each of the years shown below.",
,,Real Property Assessments by Category and Percent of Total,Real Property Assessments by Category and Percent of Total,Real Property Assessments by Category and Percent of Total,Real Property Assessments by Category and Percent of Total,Real Property Assessments by Category and Percent of Total,Real Property Assessments by Category and Percent of Total,Real Property Assessments by Category and Percent of Total,,,
,,,Residential,Residential,,,Other,Other,,,
,,Single,Single,Multi-,,,,,,,
Year,Year,Family,Family,Family,Commercial,Commercial,Agriculture,Agriculture,Total,Total,
2000,2000,,91.6%,1.3%,,6.8%,,0.3%,100.0%,100.0%,100.0%
2001,2001,,91.6%,1.3%,,6.8%,,0.3%,100.0%,100.0%,100.0%
2002,2002,,91.8%,1.4%,,6.6%,,0.2%,100.0%,100.0%,100.0%
2003,2003,,91.8%,1.4%,,6.6%,,0.2%,100.0%,100.0%,100.0%
2004,2004,,92.0%,1.2%,,6.6%,,0.2%,100.0%,100.0%,100.0%
2005,2005,,91.9%,1.2%,,6.7%,,0.2%,100.0%,100.0%,100.0%
2006,2006,,92.6%,0.6%,,6.6%,,0.2%,100.0%,100.0%,100.0%
2007,2007,,94.1%,0.7%,,5.0%,,0.2%,100.0%,100.0%,100.0%
2008,2008,,93.3%,0.7%,,5.8%,,0.2%,100.0%,100.0%,100.0%
2009,2009,,93.6%,0.9%,,5.3%,,0.2%,100.0%,100.0%,100.0%
Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,Source: Assessment data furnished by the Commissioner of the Revenue and City Assessor.,,,
,,,,,A-10,A-10,,,,,
