Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”,Name: “Table 1 of 1 on page 230 of 239”
Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219,Table: 219
,,,,,,,,,,,,,,
,,,,,,APPENDIX,APPENDIX,APPENDIX,,,,,,
"While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased","While education, public safety, parks, recreation and culture, and debt service categories have increased"
"since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by","since 2000, total expenditures are still about 11% under the average level of expenditures incurred by"
"other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.","other Virginia localities, as shown on the following table.",Poquoson residents fund their school system at,Poquoson residents fund their school system at,Poquoson residents fund their school system at,Poquoson residents fund their school system at,Poquoson residents fund their school system at,Poquoson residents fund their school system at,Poquoson residents fund their school system at
112%,of,the,average,local,"expenditures,",while,other,areas,of,government,are,generally,under,the
average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,average expenditures level prevailing throughout the State.,,,,,,
,,,,,Operating Expenditures,Operating Expenditures,Operating Expenditures,Operating Expenditures,Operating Expenditures,Operating Expenditures,,,,
,,,,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,City of Poquoson Compared to State Average,,,
,,,,,by Per-Capita Expenditures,by Per-Capita Expenditures,by Per-Capita Expenditures,by Per-Capita Expenditures,by Per-Capita Expenditures,by Per-Capita Expenditures,,,,
,,,,,2000,2000,,,,,2009,,,
,,,Poquoson,Poquoson,All Cities,All Cities,% of Avg.,% of Avg.,Poquoson,Poquoson,All Cities,% of Avg.,% of Avg.,% of Avg.
Education,Education,Education,"$1,252.67","$1,252.67","$1,102.04","$1,102.04","113.7% $1,893.36","113.7% $1,893.36","113.7% $1,893.36","113.7% $1,893.36","$1,692.95",,111.8%,111.8%
Public Safety,Public Safety,Public Safety,,$254.50,$385.78,$385.78,66.0%,66.0%,,$465.19,$648.70,,71.7%,71.7%
Public Works,Public Works,Public Works,,$119.61,$205.10,$205.10,58.3%,58.3%,,$198.84,$304.35,,65.3%,65.3%
"Parks,","Parks,",,,,,,,,,,,,,
Recreation,Recreation,Recreation,,,,,,,,,,,,
and Cultural,and Cultural,and Cultural,,$90.73,$95.60,$95.60,94.9%,94.9%,,$98.30,$158.58,,62.0%,62.0%
General,General,General,,,,,,,,,,,,
Administration,Administration,Administration,,$104.72,$92.11,$92.11,113.7%,113.7%,,$168.53,$161.09,,104.6%,104.6%
Judicial,Judicial,,,,,,,,,,,,,
Administration,Administration,Administration,,$11.41,$39.48,$39.48,28.9%,28.9%,,$27.14,$67.39,,40.3%,40.3%
Health &,Health &,Health &,,,,,,,,,,,,
Welfare,Welfare,Welfare,,$85.35,$279.87,$279.87,30.5%,30.5%,,$313.15,$436.54,,71.7%,71.7%
Community,Community,Community,,,,,,,,,,,,
Development,Development,Development,,$23.51,$70.67,$70.67,33.3%,33.3%,,$105.24,$156.19,,67.3%,67.3%
TOTAL,TOTAL,,"$1,942.50","$1,942.50","$2,270.65","$2,270.65","85.6% $3,269.75","85.6% $3,269.75","85.6% $3,269.75","85.6% $3,269.75","$3,625.79",,90.2%,90.2%
"Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,","Source: Annual edition of the Report of Local Government Revenues and Expenditures, Commonwealth of Virginia,"
Auditor of Public Accounts.,Auditor of Public Accounts.,Auditor of Public Accounts.,Auditor of Public Accounts.,Auditor of Public Accounts.,,,,,,,,,,
,,,,,,,A-20,,,,,,,
