Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”,Name: “Table 1 of 1 on page 193 of 239”
Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182,Table: 182
,,,,,,,,,,,,,
,PARKS & RECREATION,PARKS & RECREATION,PARKS & RECREATION,PARKS & RECREATION,PARKS & RECREATION,FUND - REVENUE,FUND - REVENUE,FUND - REVENUE,FUND - REVENUE,FUND - REVENUE,,,
Parks and Recreation Revenue,,,,,,,,,,,,,
,,,,,,,,,,,,$,%
,,,,,FY 2010,FY 2010,FY 2010,FY 2010,FY 2011,FY 2011,,Change,Change
,FY 2008,FY 2008,FY 2009,FY 2009,Revised,Revised,Estimated,Estimated,Adopted,Adopted,From 2010,From 2010,From 2010
Account Title,,Actual,,Actual,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,,Budget,Budget
Field:,,,,,,,,,,,,,
Adult Athletics,$,"5,005",$,"6,496",$,"6,100",$,"6,100",$,"10,600",$,"4,500",73.8%
Adult Recreation Program,,"1,825",,"1,711",,"2,000",,"2,000",,"1,500",,(500),-25.0%
Discount Ticket Sales,,"6,715",,"4,246",,"8,000",,"8,000",,"4,000",,"(4,000)",-50.0%
Facility User Fee,,-,,-,,-,,-,,"7,500",,"7,500",n/a
Instructional Classes,,"63,770",,"57,757",,"54,240",,"54,240",,"48,000",,"(6,240)",-11.5%
Miscellaneous,,"4,388",,"3,456",,750,,750,,750,,-,0.0%
Teen Program,,202,,-,,-,,-,,-,,-,n/a
Donations,,-,,-,,500,,500,,500,,-,0.0%
Youth Athletics,,"34,205",,"42,250",,"44,845",,"44,845",,"45,345",,500,1.1%
Field Revenue,$,"116,110",$,"115,916",$,"116,435",$,"116,435",$,"118,195",$,"1,760",1.5%
Pool:,,,,,,,,,,,,,
Gate Admission,,"13,256",,"11,022",,"18,900",,"18,900",,"18,000",,(900),-4.8%
Miscellaneous,,"1,306",,672,,750,,750,,750,,-,0.0%
Other Pool Activities,,"3,594",,"1,753",,"2,500",,"2,500",,"1,000",,"(1,500)",-60.0%
Pool Passes,,"10,438",,"10,315",,"13,750",,"13,750",,"10,000",,"(3,750)",-27.3%
Pool Rental,,"1,600",,"1,599",,"7,500",,"7,500",,"1,800",,"(5,700)",-76.0%
Swim Team,,"19,632",,"12,602",,"21,875",,"21,875",,"23,000",,"1,125",5.1%
Swimming Lessons,,"17,386",,"21,205",,"17,100",,"17,100",,"15,000",,"(2,100)",-12.3%
Pool Revenue,$,"67,212",$,"59,168",$,"82,375",$,"82,375",$,"69,550",$,"(12,825)",-15.6%
Special Events:,,,,,,,,,,,,,
Childrens Events,,"4,925",,-,,"2,500",,"2,500",,"2,500",,-,0.0%
Fireworks in the Marsh,,"1,877",,"1,395",,-,,-,,-,,-,n/a
Holiday Parade,,250,,561,,200,,200,,200,,-,0.0%
Seafood Festival Activities,,"17,563",,"20,470",,"3,800",,"3,800",,"4,800",,"1,000",26.3%
Seafood Festival Sponsors,,"50,982",,"45,800",,"39,800",,"39,800",,"31,000",,"(8,800)",-22.1%
Seafood Festival Vendors,,"55,002",,"54,191",,"60,500",,"60,500",,"62,050",,"1,550",2.6%
Seafood Festival Parking,,"30,892",,"15,735",,"30,000",,"30,000",,"30,000",,-,0.0%
Special Events Revenue,$,"161,491",$,"138,152",$,"136,800",$,"136,800",$,"130,550",$,"(6,250)",-4.6%
Transfer from General Fund,$,"131,010",$,"100,000",$,"46,000",$,"46,000",$,"80,800",$,"34,800",75.7%
Transfer from Unappropriated Fund Balance $,Transfer from Unappropriated Fund Balance $,-,$,-,$,-,$,-,$,"17,125",$,"17,125",n/a
TOTAL REVENUE & TRANSFERS IN,$,"475,823",$,"413,236",$,"381,610",$,"381,610",$,"416,220",$,"34,610",9.1%
,,,,,149,,,,,,,,
