Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”,Name: “Table 1 of 1 on page 196 of 239”
Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185,Table: 185
,,,,,,,,,,,
,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2010,,FY 2011,,Change,Change
,,FY 2008,,FY 2009,Revised,Revised,Adopted,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"66,310",$,"73,555",$,"75,100",$,"77,409",$,"2,309",3.1%
Operating Expenses,,"93,625",,"98,488",,"62,385",,"83,992",,"21,607",34.6%
Capital Outlay,,328,,"1,845",,-,,300,,300,100.0%
Totals,$,"160,263",$,"173,888",$,"137,485",$,"161,701",$,"24,216",17.6%
Personnel Summary,,,,,,,,,,,
,,,,FY 2008,,FY 2009,,FY 2010,,FY 2011,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Recreation Program Coordinator,,,,0.50,,0.50,,0.50,,0.50,
Admin Support Technician,,,,1.00,,1.00,,1.00,,1.00,
Part Time (FTE),,,,0.30,,0.30,,0.30,,0.30,
,Totals,Totals,,1.80,,1.80,,1.80,,1.80,
Goals and Objectives,,,,,,,,,,,
"* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for"
the community.,,,,,,,,,,,
* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.
* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,,,,,,,
* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,,,,,
,,,,152,,,,,,,
