Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”,Name: “Table 1 of 1 on page 118 of 239”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,,,,,
,,SCHOOL CONTRIBUTION,SCHOOL CONTRIBUTION,SCHOOL CONTRIBUTION,SCHOOL CONTRIBUTION,,,,
Expenditures Summary,,,,,,,,,
,,,,,,,,$,%
,,,,,FY 2010,FY 2011,,Change,Change
,,FY 2008,,FY 2009,Revised,Adopted,From 2010,From 2010,From 2010
,,Actual,,Actual,Budget,Budget,,Budget,Budget
Operation Transfer,$,"8,147,463",$,"8,223,964","$ 8,334,090","$ 8,516,601",$,"182,511",2.2%
Reappropriation,,-,,"126,537","63,398",-,,"(63,398)",-100.0%
Totals,$,"8,147,463",$,"8,350,501","$ 8,397,488","$ 8,516,601",$,"119,113",1.4%
Personnel Summary,,,,,,,,,
N/A,,,,,,,,,
Goals and Objectives,,,,,,,,,
* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,
(SOL).,,,,,,,,,
"* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment",
program.,,,,,,,,,
"* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.",,
"* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.",
,,Poquoson High School Mascot,Poquoson High School Mascot,Poquoson High School Mascot,Poquoson High School Mascot,,,,
,,,,74,,,,,
