Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”,Name: “Table 1 of 1 on page 215 of 239”
Table: 204,Table: 204,Table: 204,Table: 204,Table: 204,Table: 204,Table: 204,Table: 204,Table: 204,Table: 204,Table: 204
,,,,,,,,,,
,,,,APPENDIX,APPENDIX,APPENDIX,,,,
,,,,TOTAL REVENUES,TOTAL REVENUES,TOTAL REVENUES,TOTAL REVENUES,,,
"After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,","After adjusting for inflation, total revenue received per Poquoson household has increased 57.7% since 2000,"
or an average of 5.8% per year.,or an average of 5.8% per year.,or an average of 5.8% per year.,,,,,,,,
,,,Total Revenue Per Household,Total Revenue Per Household,Total Revenue Per Household,Total Revenue Per Household,Total Revenue Per Household,Total Revenue Per Household,,
,,Revenue in,Revenue in,,Revenue,Revenue,Revenue in,Revenue in,Revenue,Revenue
,,,Current,,Per,,2000,2000,Per,Per
Year,Year,,Dollars,,Household,Household,Dollars,Dollars,Household,Household
2000,2000,"$22,944,724","$22,944,724",,"$5,336","$5,336","$22,944,724","$22,944,724","$5,336","$5,336"
2001,2001,"$24,783,411","$24,783,411",,"$5,699","$5,699","$23,968,483","$23,968,483","$5,511","$5,511"
2002,2002,"$25,687,323","$25,687,323",,"$5,814","$5,814","$24,451,449","$24,451,449","$5,535","$5,535"
2003,2003,"$27,172,586","$27,172,586",,"$6,053","$6,053","$25,259,036","$25,259,036","$5,627","$5,627"
2004,2004,"$29,733,770","$29,733,770",,"$6,558","$6,558","$27,124,491","$27,124,491","$5,982","$5,982"
2005,2005,"$33,462,935","$33,462,935",,"$7,326","$7,326","$29,551,214","$29,551,214","$6,469","$6,469"
2006,2006,"$34,304,554","$34,304,554",,"$7,341","$7,341","$29,298,307","$29,298,307","$6,270","$6,270"
2007,2007,"$39,045,892","$39,045,892",,"$7,972","$7,972","$32,534,358","$32,534,358","$6,642","$6,642"
2008,2008,"$40,147,113","$40,147,113",,"$8,479","$8,479","$32,134,421","$32,134,421","$6,787","$6,787"
2009,2009,"$47,418,837","$47,418,837",,"$10,526","$10,526","$37,916,914","$37,916,914","$8,417","$8,417"
% Change,% Change,,106.7%,,97.3%,97.3%,65.3%,65.3%,57.7%,57.7%
Source:,"Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes","Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report, includes"
"General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board).","General, Special Revenue, Debt Service and Capital Projects Funds and Component Unit (School Board)."
,,Total Revenue Per Household in 2000 Dollars,Total Revenue Per Household in 2000 Dollars,Total Revenue Per Household in 2000 Dollars,Total Revenue Per Household in 2000 Dollars,Total Revenue Per Household in 2000 Dollars,Total Revenue Per Household in 2000 Dollars,Total Revenue Per Household in 2000 Dollars,,
"$8,800",,,,,,,,,,
"$8,300",,,,,,,,,,
"$7,800",,,,,,,,,,
"$7,300",,,,,,,,,,
"$6,800",,,,,,,,,,
"$6,300",,,,,,,,,,
"$5,800",,,,,,,,,,
"$5,300",,,,,,,,,,
"$4,800",,,,,,,,,,
"$4,300",,,,,,,,,,
"$3,800",,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,,,,A-5,,,,,
