Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”,Name: “Table 1 of 1 on page 161 of 239”
Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150
,,,,,,,,,,,,,,,,,,
,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,CAPITAL PROJECTS FUND - CIP PLAN SUMMARY,,,,
FY 2011 Adopted Capital Projects Fund,,,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,Adopted CIP Summary FY 2011 - Beyond FY 2015,,,,,,,,,
,,FY 2011,,,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,Beyond,,
,,Adopted,Prior Year,Prior Year,,Adopted,,Adopted,,Adopted,,Adopted,,Adopted,,FY 2015,,
Project,,Budget,Funding,,,Project,,Project,,Project,,Project,,Project,,Project,,Total Cost
Parks & Recreation Projects,,,,,,,,,,,,,,,,,,
Municipal Ballfield Lighting Upgrade,$,-,$,-,$,-,$,-,$,-,$,"5,000",$,"75,000",$,-,$,"80,000"
Blue Way System,,-,,-,,-,,"13,000",,"22,500",,"15,000",,"15,000",,-,,"65,500"
Messick Point Breakwater,,-,,-,,-,,-,,"25,000",,"335,000",,-,,-,,"360,000"
Messick Point Pier & Beach,,-,,-,,"700,000",,-,,-,,-,,-,,-,,"700,000"
Pool Reconstruction,,-,,-,,-,,-,,-,,-,,-,,"3,500,000",,"3,500,000"
Pool House Renovation,,-,,-,,-,,"25,000",,"175,000",,-,,-,,-,,"200,000"
Recreation Center,,-,,-,,-,,-,,-,,-,,-,,"16,063,624",,"16,063,624"
Western Precinct Park,,-,,-,,-,,-,,-,,"1,000,000",,-,,-,,"1,000,000"
Kid's Island Refurbishment,,-,,-,,-,,"5,000",,"200,000",,-,,-,,-,,"205,000"
South Lawson Park Upgrades,,-,,-,,-,,-,,-,,"200,000",,"200,000",,-,,"400,000"
Total Parks & Recreation Projects,$,-,$,-,$,"700,000",$,"43,000",$,"422,500",$,"1,555,000",$,"290,000",$,"19,563,624",$,"22,574,124"
Totals,$,"392,000","$4,159,000","$4,159,000",$,"2,324,000",$,"3,037,600",$,"13,994,350",$,"3,686,288",$,"11,809,862",$,"22,063,624",$,"61,074,724"
Expenditures Explanations,,,,,,,,,,,,,,,,,,
