Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”,Name: “Table 1 of 1 on page 64 of 239”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,,,,,,
,,,,,REVENUE DETAIL,REVENUE DETAIL,REVENUE DETAIL,REVENUE DETAIL,REVENUE DETAIL,,,,,
Maintenance funding.,Maintenance funding.,,"Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for","Of that amount, $392,000 is budgeted in the Capital Projects Fund and is used for"
paving and drainage projects.,paving and drainage projects.,paving and drainage projects.,paving and drainage projects.,"The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.","The remaining $775,800 is budgeted in the General Fund.",,,
Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,Library Aid is provided on a per capita basis for the operation of the public library.,State money must be,State money must be,State money must be,State money must be
expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount,expended either for book purchases or partial funding of Library professional employees' salaries. The amount
"the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.","the City estimates in FY 2011 is $145,280, which is a reduction of $7,640 from FY 2010.",,,,
Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially,Comprehensive Services Act (CSA) funds are provided to partially fund mandated foster care and residentially
placed special education expenses.,placed special education expenses.,placed special education expenses.,placed special education expenses.,"The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of","The State contribution is expected to be $250,000 and a local cost of"
"$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.","$100,000 for a total of $350,000 for CSA expenditures.",,,,,,,
Various,websites,from,State,agencies,and,the,Virginia,Municipal,League,(VML),determined,the,FY,2011
estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,estimates for State Categorical Aid. VML is an advocate for Virginia localities at the General Assembly.,
,,,,,FEDERAL REVENUE,FEDERAL REVENUE,FEDERAL REVENUE,FEDERAL REVENUE,FEDERAL REVENUE,,,,,
CATEGORICAL AID:,CATEGORICAL AID:,,,,,,,,,,,,,
Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by,Plum Tree Island Refuge revenue represents payment in lieu of taxes for the Big Marsh area administered by
