Name: “Table 1 of 1 on page 155 of 239”,Name: “Table 1 of 1 on page 155 of 239”,Name: “Table 1 of 1 on page 155 of 239”,Name: “Table 1 of 1 on page 155 of 239”
Table: 144,Table: 144,Table: 144,Table: 144
,,,
CAPITAL PROJECTS FUND - SUMMARY,CAPITAL PROJECTS FUND - SUMMARY,,
Capital Projects Fund Description,,,
The Capital Projects Fund accounts for financial resources to be used for the acquisition or construction of,The Capital Projects Fund accounts for financial resources to be used for the acquisition or construction of,The Capital Projects Fund accounts for financial resources to be used for the acquisition or construction of,The Capital Projects Fund accounts for financial resources to be used for the acquisition or construction of
"major City or School capital facilities, infrastructure, and equipment other than those financed by proprietary","major City or School capital facilities, infrastructure, and equipment other than those financed by proprietary","major City or School capital facilities, infrastructure, and equipment other than those financed by proprietary","major City or School capital facilities, infrastructure, and equipment other than those financed by proprietary"
funds.,,,
"For presentation purposes, the FY 2011 through FY 2015 CIP's General Fund Projects are shown in detail","For presentation purposes, the FY 2011 through FY 2015 CIP's General Fund Projects are shown in detail","For presentation purposes, the FY 2011 through FY 2015 CIP's General Fund Projects are shown in detail","For presentation purposes, the FY 2011 through FY 2015 CIP's General Fund Projects are shown in detail"
found on page 115.,,,
"Unlike the City's General Fund in which any unexpended funds lapse at the end of the fiscal year, the monies","Unlike the City's General Fund in which any unexpended funds lapse at the end of the fiscal year, the monies","Unlike the City's General Fund in which any unexpended funds lapse at the end of the fiscal year, the monies","Unlike the City's General Fund in which any unexpended funds lapse at the end of the fiscal year, the monies"
appropriated in the Capital Fund lapse into the fund balance.,"Therefore, in addition to funds budgeted for FY","Therefore, in addition to funds budgeted for FY","Therefore, in addition to funds budgeted for FY"
"2011, there may also be monies remaining from prior years that fund continuing projects.","2011, there may also be monies remaining from prior years that fund continuing projects.",,
Capital Projects Projection of Fund Balance,,,
Beginning Fund Balance - 6/30/2007,,$,"16,606,594"
Actual FY 2008 Revenues,$,"2,333,906",
Actual FY 2008 Expenditures,,"(13,492,699)","(11,158,793)"
Fund Balance - 6/30/2008,,$,"5,447,801"
Actual FY 2009 Revenues,$,"2,811,729",
Actual FY 2009 Expenditures,,"(7,110,450)","(4,298,721)"
Fund Balance - 6/30/2009,,$,"1,149,080"
Estimated FY 2010 Revenues,$,"495,736",
Estimated FY 2010 Expenditures,,"(1,270,344)","(774,608)"
Projected Fund Balance - 6/30/2010,,$,"374,472"
Estimated FY 2011 Revenues,$,"392,000",
Estimated FY 2011 Expenditures,,"(392,000)",-
Projected Fund Balance - 6/30/2011,,$,"374,472"
111,,,
