Name: “Table 1 of 1 on page 239 of 239”,Name: “Table 1 of 1 on page 239 of 239”,Name: “Table 1 of 1 on page 239 of 239”
Table: 228,Table: 228,Table: 228
,,
,FREQUENTLY USED ACRONYMS AND ABBREVIATIONS,FREQUENTLY USED ACRONYMS AND ABBREVIATIONS
VPA,-,Virginia Port Authority
VPDES -,Virginia Pollutant Discharge Elimination System,Virginia Pollutant Discharge Elimination System
VPPSA,-,Virginia Peninsulas Public Service Authority
VPSA,-,Virginia Public Schools Authority
VPSU,-,Virginia Peninsula Swimming Union
VRA,-,Virginia Resources Authority
VRS,-,Virginia Retirement System
YMCA,-,Young Men’s Christian Association
800 MHz,-,800 MHz radio/communications system
,,G-7
