Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”,Name: “Table 1 of 1 on page 96 of 239”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,,,,,,,
,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2010,,FY 2011,Change,Change,Change
,,FY 2008,,FY 2009,,Revised,Adopted,,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"173,317",,"156,201",,"181,790",,"175,082",,"(6,708)",-3.7%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"173,317",$,"156,201",$,"181,790",$,"175,082",$,"(6,708)",-3.7%
Personnel Summary,,,,,,,,,,,
N/A,,,,,,,,,,,
,,,,,,,,FY 2010,FY 2011,FY 2011,
,,,,FY 2008,,FY 2009,Revised,,Adopted,Adopted,
Budget Detail,,,,Actual,,Actual,,Budget,,Budget,
Adult Detention,,,$,"102,471",$,"116,234",$,"113,507","$ 123,654","$ 123,654",
Juvenile Services,,,,,,,,,,,
Juvenile Detention,,,,"55,275",,"28,512",,"42,300",,"42,300",
Project Insight,,,,"10,582",,"11,455",,"11,603",,"9,128",
"Community Supervision, Outreach","Community Supervision, Outreach",,,,,,,,,,
"Detention, Electronic Monitoring,","Detention, Electronic Monitoring,","Detention, Electronic Monitoring,",,,,,,,,,
House Arrest,,,,"4,989",,-,,"14,380",,-,
Totals,,,$,"173,317",$,"156,201",$,"181,790",,"175,082",
,,,,52,,,,,,,
