Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”,Name: “Table 1 of 1 on page 146 of 239”
Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135
,,,,,,,,,,
,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,,
Debt Service Expenditures,,,,,,,,,,
,,,,,,,,,$,%
,,,,,,FY 2010,,FY 2011,Change,Change
,,FY 2008,,FY 2009,,Revised,,Adopted,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,Budget,Budget
School Principal,$,"815,090",$,"787,870",$,"999,165",$,"547,306","$ (451,859)",-45.2%
School Interest,,"905,167",,"882,495",,"946,543",,"894,829","(51,714)",-5.5%
City Principal,,"680,365",,"626,261",,"358,917",,"349,667","(9,250)",-2.6%
City Interest,,"351,205",,"361,587",,"252,986",,"249,041","(3,945)",-1.6%
Trustee Fees,,"1,850",,500,,"2,000",,"1,999",(1),-0.1%
Advance Refunding,,-,,"4,659,921",,-,,-,-,n/a
Cost of Debt Issuance,,-,,"139,699",,-,,-,-,n/a
Totals,"$ 2,753,677","$ 2,753,677","$ 7,458,333","$ 7,458,333","$ 2,559,611","$ 2,559,611","$ 2,042,842","$ 2,042,842","$ (516,769)",-20.2%
Significant Budget Items,,,,,,,,,,
"* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio","* In FY 2008, the City added a $519,604 capital lease for the Police and Fire Department's mobile radio",
communications.,,,,,,,,,,
"* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School.","* In FY 2009, the City added $2 million for new turf for the football stadium at the Poquoson Middle School."
"* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire","* In FY 2009, the City refunded 2006A PES, 2001 School's VRS, 1998A Refunded Court House, 2001 Fire"
"Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.","Station #2, 2002 Fire Pumper w/Aerial, 2008 Motorola Radios, 1998B and 2003 Sewer Bonds.",
"* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an","* In FY 2009, the City transferred $1,094,150 in bond proceeds to the School debt and borrowed an",
"additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million.","additional $350,000 for the completion of the new Elementary School, bringing the total to $19.9 million."
"* In FY 2010, the City refunded an additional $15.4 million in debt.","* In FY 2010, the City refunded an additional $15.4 million in debt.","* In FY 2010, the City refunded an additional $15.4 million in debt.","* In FY 2010, the City refunded an additional $15.4 million in debt.","* In FY 2010, the City refunded an additional $15.4 million in debt.","* In FY 2010, the City refunded an additional $15.4 million in debt.","* In FY 2010, the City refunded an additional $15.4 million in debt.",,,,
"* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and","* In FY 2010, the City issued $600,000 in general obligation bonds in the Sewer Fund to increase and",
upgrade the capacity at Pump Station 2.,upgrade the capacity at Pump Station 2.,upgrade the capacity at Pump Station 2.,,,,,,,,
,,,,102,,,,,,
