Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”,Name: “Table 1 of 1 on page 140 of 239”
Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129
,,,,,,,,,,,
,,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2010,FY 2011,,,Change,Change
,,FY 2008,,FY 2009,,Revised,Adopted,,,From 2010,From 2010
,,Actual,,Actual,,Budget,Budget,,,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"4,422,899",,"2,704,369",,"2,586,217","2,123,642","2,123,642",,"(462,575)",-17.9%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,"$ 4,422,899","$ 4,422,899","$ 2,704,369","$ 2,704,369","$ 2,586,217","$ 2,586,217","$ 2,123,642","$ 2,123,642",$,"(462,575)",-17.9%
Personnel Summary,,,,,,,,,,,
N/A,,,,,,,,,,,
,,TRANSFERS,TRANSFERS,TRANSFERS,TRANSFERS,TRANSFERS,TRANSFERS,,,,
Goals and Objectives,,,,,,,,,,,
* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and
Schools.,,,,,,,,,,,
* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,* Transfer to Parks and Recreation Fund to help the ongoing deficits of the fund.,,,,
,,,,96,,,,,,,
