Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”,Name: “Table 1 of 1 on page 145 of 239”
Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134
,,,,,,,,,,,,,
,,,,DEBT SERVICE FUND - REVENUE,DEBT SERVICE FUND - REVENUE,DEBT SERVICE FUND - REVENUE,DEBT SERVICE FUND - REVENUE,DEBT SERVICE FUND - REVENUE,,,,,
Debt Service Revenue,,,,,,,,,,,,,
,,,,,,,,,,,,$,%
,,,,,,FY 2010,,FY 2010,,FY 2011,,Change,Change
,,FY 2008,,FY 2009,,Revised,,Estimated,,Adopted,From 2010,From 2010,From 2010
Account Title,,Actual,,Actual,,Budget,,Revenue,,Revenue,,Budget,Budget
Transfer from General Fund,$,"2,482,454",$,"2,548,119",$,"2,411,481",$,"2,411,481",$,"2,042,842",$,"(368,639)",-15.3%
Issuance of Debt,,"144,810",,"4,799,620",,-,,-,,-,,n/a,n/a
Use of Reserve,,-,,-,,"148,130",,"148,130",,-,,"(148,130)",-100.0%
TOTAL TRANSFERS IN,$,"2,627,264",$,"7,347,739",$,"2,559,611",$,"2,559,611",$,"2,042,842",$,"(516,769)",-20.2%
Revenue Explanations,,,,,,,,,,,,,
Transfers:,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,The Debt Service Fund is financed exclusively from transfers made by other funds.,Usually the transfer of debt,Usually the transfer of debt,Usually the transfer of debt,
comes from the General Fund.,comes from the General Fund.,,,,,,,,,,,,
Issuance of Debt:,"In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt.","In FY 2009, the City refinanced and restructured approximately $4.8 million School and City outstanding debt."
"In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.","In May 2010, the City refunded $15.4 million in School and City outstanding debt.",,,,,
Use of Reserve:,"In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of","In FY 2006, the City established a capital reserve to set aside funds for future debt service in the amount of"
"$385,137.","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594","The City drew down, as planned, the reserve in FY 2008, FY 2009 and FY 2010, in the amount of $126,413, $110,594"
"and $148,130 respectively.",,,,,,,,,,,,,
Computation of Estimated Legal Debt Margins for FY 2011,Computation of Estimated Legal Debt Margins for FY 2011,Computation of Estimated Legal Debt Margins for FY 2011,Computation of Estimated Legal Debt Margins for FY 2011,Computation of Estimated Legal Debt Margins for FY 2011,Computation of Estimated Legal Debt Margins for FY 2011,,,,,,,,
