Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”,Name: “Table 1 of 1 on page 5 of 22”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,,,,,
,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
,,,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,,,,Space Needs,Space Needs,,,,,,,,,
,,,,,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,,Prior Years,Prior Years,,Budget,,,,,,,,,,,,TOTAL
Department / Agency,,,Funding,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,FY 2010-14
New Courts/Clerk Building,New Courts/Clerk Building,"$ 23,627,000","$ 23,627,000",,,$,-,$,-,$,-,$,-,$,-,$,-
New Animal Shelter,,,,"$ 1,500,000","$ 1,500,000",,,,,,-,,,,,,-
General Services/,,,,,,,,,,,,,,,,,-
Engineering Bldg Expansion,Engineering Bldg Expansion,,,,,,"50,000",,"550,000",,,,,,,,"600,000"
Community Center - Windsor,Community Center - Windsor,,"150,000",,"75,000",,,,,,,,,,,,-
New Fire Station -,Smithfield,,"4,508,000",,"500,000",,,,,,,,,,,,-
IOWVRS Bldg Renovation,IOWVRS Bldg Renovation,,,,"1,700,000",,,,,,,,,,,,-
Carrsville Fire Renovation,Carrsville Fire Renovation,,,,,,,,,,,,"450,000",,,,"450,000"
Fire Station - Windsor,,,-,,-,,-,,-,,-,,"350,000",,-,,"350,000"
,TOTAL:,"$ 28,285,000","$ 28,285,000","$ 3,775,000","$ 3,775,000",$,"50,000",$,"550,000",$,-,$,"800,000",$,-,$,"1,400,000"
Revenue Sources:,,,,,,,,,,,,,,,,,
Operating Revenues,,$,"150,000",$,"75,000",$,-,$,-,$,-,$,-,$,-,$,-
Fund Balance/Reserves,Fund Balance/Reserves,,,,,,-,,-,,-,,-,,,,-
Bonded / Note Indebtedness,Bonded / Note Indebtedness,,"28,135,000",,"3,700,000",,"50,000",,"550,000",,-,,"800,000",,-,,"1,400,000"
Grants / Donations / Other,Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,"$ 28,285,000","$ 28,285,000","$ 3,775,000","$ 3,775,000",$,"50,000",$,"550,000",$,-,$,"800,000",$,-,$,"1,400,000"
,,,,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,,,,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Health & Human Services Building,Health & Human Services Building,Health & Human Services Building,Health & Human Services Building,,,,"750,000",,"6,732,000",,,,,,"7,482,000",,"7,482,000"
County Administration Building Addition,County Administration Building Addition,County Administration Building Addition,County Administration Building Addition,,"3,250,000",,,,,,,,,,"3,250,000",,"3,250,000"
General Services/,,,,,,,,,,,,,,,-,,-
Engineering Bldg Expansion,Engineering Bldg Expansion,,,,,,,,,,,,,,-,,"600,000"
Public Safety Building - Courthouse,Public Safety Building - Courthouse,Public Safety Building - Courthouse,Public Safety Building - Courthouse,,"750,000",,"6,750,000",,"1,500,000",,,,,,"9,000,000",,"9,000,000"
Fire Station - Benns Church,Fire Station - Benns Church,,,,,,,,,,"4,500,000",,,,"4,500,000",,"4,500,000"
Carrsville Fire Renovation,Carrsville Fire Renovation,,,,,,,,,,,,,,-,,"450,000"
Fire Station - Windsor,,,,,-,,-,,-,,-,,-,,-,,"350,000"
,TOTAL:,,,"$ 4,000,000","$ 4,000,000","$ 7,500,000","$ 7,500,000","$ 8,232,000","$ 8,232,000","$ 4,500,000","$ 4,500,000",$,-,"$ 24,232,000","$ 24,232,000","$ 25,632,000","$ 25,632,000"
Revenue Sources:,,,,,,,,,,,,,,,,,
Operating Revenues,,,,$,-,$,-,$,-,$,-,$,-,$,-,$,-
Fund Balance/Reserves,Fund Balance/Reserves,,,,-,,,,,,,,-,,-,,-
Bonded / Note Indebtedness,Bonded / Note Indebtedness,,,,"4,000,000",,"7,500,000",,"8,232,000",,"4,500,000",,-,,"24,232,000",,"25,632,000"
Grants / Donations / Other,Grants / Donations / Other,,,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,,,"$ 4,000,000","$ 4,000,000","$ 7,500,000","$ 7,500,000","$ 8,232,000","$ 8,232,000","$ 4,500,000","$ 4,500,000",$,-,"$ 24,232,000","$ 24,232,000","$ 25,632,000","$ 25,632,000"
New Courts/Clerk Building,New Courts/Clerk Building,,,,,,,,,,,,,,,,
A new courts/clerks building is being constructed at the County Complex.,A new courts/clerks building is being constructed at the County Complex.,A new courts/clerks building is being constructed at the County Complex.,A new courts/clerks building is being constructed at the County Complex.,A new courts/clerks building is being constructed at the County Complex.,A new courts/clerks building is being constructed at the County Complex.,A new courts/clerks building is being constructed at the County Complex.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,The design is complete and construction should begin in the spring of 2009.,
