Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,Parks & Recreation,Parks & Recreation,Parks & Recreation,Parks & Recreation,Parks & Recreation,,,,,,,
,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Hardy District Park:,,,,,,,,,,,,,,
Development,$,"250,000",$,-,$,-,$,-,$,-,$,"250,000",$,"250,000"
Recreation Center,,,,"330,000",,"3,795,000",,,,,,"4,125,000",,"4,125,000"
Playground,,,,,,,,,,"250,000",,"250,000",,"250,000"
Nike Park:,,,,,,,,,,,,-,,
Softball Field w/ Lights,,,,,,,,,,,,-,,"375,000"
Recreation Center,,,,,,,,,,,,-,,"6,400,000"
Basketball court,,,,"50,000",,,,,,,,"50,000",,"50,000"
Nike Park Restroom (New),,,,,,,,,,,,-,,"85,000"
Nike Park Picnic Shelters,,,,,,,,,,,,-,,"80,000"
Nature Center,,,,,,,,,,"500,000",,"500,000",,"500,000"
Zuni Park:,,,,,,,,,,,,-,,
Development,,"150,000",,,,,,,,,,"150,000",,"150,000"
Fort Huger:,,,,,,,,,,,,-,,
Shot Furnace,,,,,,,,,,,,-,,"20,000"
Shell House,,,,,,,,,,,,-,,"40,000"
Magazine,,"60,000",,,,,,,,,,"60,000",,"60,000"
Heritage Park:,,,,,,,,,,,,-,,-
Restroom,,,,,,,,,,,,-,,"85,000"
Concessions Building,,,,,,,,,,,,-,,"325,000"
Picnic Shelter/Playground,,-,,,,,,,,,,-,,"410,000"
Mobile Stage,,"450,000",,,,,,,,,,"450,000",,"450,000"
Commercial Building,,"480,000",,,,,,,,,,"480,000",,"480,000"
Tyler's Beach,,,,,,,,,,,,-,,-
Bulkhead Replacement,,,,,,,,,,,,-,,"300,000"
Restroom/Beach Develop,,"120,000",,,,,,,,,,"120,000",,"120,000"
Camptown Park,,,,,,,,,,,,-,,-
Otelia J. Rainey Bldg,,"2,000,000",,,,,,,,,,"2,000,000",,"2,000,000"
County Trails Development,,"450,000",,"450,000",,"450,000",,"450,000",,"450,000",,"2,250,000",,"4,050,000"
Fort Boykins,,"125,000",,,,,,,,,,"125,000",,"125,000"
Reel Mower,,-,,-,,-,,-,,-,,-,,"40,000"
TOTAL:,"$ 4,085,000","$ 4,085,000",$,"830,000","$ 4,245,000","$ 4,245,000",$,"450,000",$,"1,200,000",$,"10,810,000",$,"20,770,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"615,000",$,"390,000",$,"340,000",$,"90,000",$,"340,000",$,"1,775,000",$,"2,105,000"
Fund Balance/Reserves,,,,-,,-,,-,,-,,-,,-
Bonded / Note Indebtedness,,"3,110,000",,"80,000",,"3,545,000",,-,,"500,000",,"7,235,000",,"15,425,000"
Grants / Donations / Other,,"360,000",,"360,000",,"360,000",,"360,000",,"360,000",,"1,800,000",,"3,240,000"
TOTAL:,"$ 4,085,000","$ 4,085,000",$,"830,000","$ 4,245,000","$ 4,245,000",$,"450,000",$,"1,200,000",$,"10,810,000",$,"20,770,000"
,,,,,,,,,,,,,,8
4/3/2009,,,,,,,,,,,,,,
