Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”,Name: “Table 1 of 1 on page 15 of 22”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,
FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,,
,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,,
,,General Services / Public Works,General Services / Public Works,General Services / Public Works,General Services / Public Works,General Services / Public Works,General Services / Public Works,General Services / Public Works,,,,,,,,
,,,Capital,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,Prior Years,Prior Years,Budget,Budget,,,,,,,,,,,,TOTAL
Department / Agency,,Funding,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,FY 2010-14
Refuse:,,,,,,,,,,,,,,,,
Refuse Truck-replacement,$,-,$,"130,000",$,-,$,-,$,-,$,-,$,-,$,-
Dump Truck-replacement,,,,,,"90,000",,-,,,,,,,,"90,000"
Refuse Truck-replacement,,,,,,,,"135,000",,,,,,,,"135,000"
Carrsville Compactor-replacement,,,,,,,,,,"35,000",,,,,,"35,000"
Refuse Truck - fleet additon,,,,,,,,,,"130,000",,,,,,"130,000"
Refuse Containers,,"30,000",,"40,000",,"40,000",,"45,000",,"45,000",,"50,000",,"50,000",,"230,000"
Roof Replacement:,,,,,,,,,,,,,,,,-
Windsor VRS - Roof Replace,,,,"50,000",,,,,,-,,,,,,-
Building & Grounds:,,,,,,,,,,,,,,,,-
Old Jail Bldg Restoration,,"192,555",,,,,,,,,,,,,,-
Camp Washington Cleanup,,"100,000",,,,,,,,,,,,,,-
Bobcat-replacement,,,,,,,,"40,000",,,,,,,,"40,000"
Tractor & Bushhog Mower,,-,,-,,"50,000",,-,,-,,-,,-,,"50,000"
TOTAL:,$,"322,555",$,"220,000",$,"180,000",$,"220,000",$,"210,000",$,"50,000",$,"50,000",$,"710,000"
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,$,"322,555",$,-,$,-,$,"40,000",$,"75,000",$,"50,000",$,"50,000",$,"215,000"
Fund Balance/Reserves,,,,"220,000",,,,,,,,,,,,-
Bonded / Note Indebtedness,,,,,,"180,000",,"180,000",,"135,000",,,,,,"495,000"
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"322,555",$,"220,000",$,"180,000",$,"220,000",$,"210,000",$,"50,000",$,"50,000",$,"710,000"
,,,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,,,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Refuse:,,,,,,,,,,,,,,,,
Dump Truck-replacement,,,,,,,,,,,,,,-,,"90,000"
Refuse Truck-replacement,,,,,,,,,,,,,,-,,"135,000"
Carrsville Compactor-replacement,,,,,,,,,,,,,,-,,"35,000"
Refuse Truck - fleet additon,,,,,,,,,,,,,,-,,"130,000"
Refuse Truck - replacement,,,,"140,000",,,,,,,,,,"140,000",,"140,000"
Carroll Bridge Compactor-replacement,,,,"40,000",,,,,,,,,,"40,000",,"40,000"
Refuse Containers,,,,,,"55,000",,,,"60,000",,"60,000",,"175,000",,"405,000"
Building & Grounds:,,,,,,,,,,,,,,-,,-
Bobcat-replacement,,,,,,,,,,,,,,-,,"40,000"
Tractor & Bushhog Mower,,,,-,,-,,-,,-,,-,,-,,"50,000"
TOTAL:,,,$,"180,000",$,"55,000",$,-,$,"60,000",$,"60,000",$,"355,000","$ 1,065,000","$ 1,065,000"
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,,,$,"180,000",$,"55,000",$,-,$,"60,000",$,"60,000",$,"355,000",$,"570,000"
Fund Balance/Reserves,,,,-,,,,,,,,,,-,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,-,,"495,000"
Grants / Donations / Other,,,,-,,-,,-,,-,,-,,-,,-
TOTAL:,,,$,"180,000",$,"55,000",$,-,$,"60,000",$,"60,000",$,"355,000","$ 1,065,000","$ 1,065,000"
,,,,,,,,,,,,,,,,13
4/3/2009,,,,,,,,,,,,,,,,
