Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,Red Cross,Red Cross,,,,,,,,,
,,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,,Budget,,,,,,,,,,,,TOTAL
Department / Agency,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
Building Campaign,$,"25,000",$,"25,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"225,000"
TOTAL:,$,"25,000",$,"25,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"225,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"25,000",$,"25,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"225,000"
Fund Balance/Reserves,,-,,-,,-,,-,,-,,,,-
Bonded / Note Indebtedness,,-,,-,,-,,-,,-,,,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"25,000",$,"25,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"225,000"
,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,,2013-14',,2014-15',,2015-16',,2016-17',,2017-18',FY 14-18',FY 14-18',,TOTAL
Building Campaign,$,-,$,-,$,-,$,-,$,-,$,-,$,"225,000"
TOTAL:,$,-,$,-,$,-,$,-,$,-,$,-,$,"225,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,-,$,-,$,-,$,-,$,-,$,-,$,"225,000"
Fund Balance/Reserves,,-,,,,,,,,-,,-,,-
Bonded / Note Indebtedness,,-,,,,-,,-,,-,,-,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,-,$,-,$,-,$,-,$,-,$,-,$,"225,000"
,,,,,,,,,,,,,,19
4/3/2009,,,,,,,,,,,,,,
