Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,,,,,
,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,
,,,,,General Summary,General Summary,General Summary,General Summary,,,,,,
,,Capital,,,,,Year 1 through 5,Year 1 through 5,,,,,,
,,Budget,,,,,,,,,,,,TOTAL
Department / Agency,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,,FY 2010-11,,FY 2011-12,,FY 2012-13,,FY 2013-14,,FY 2010-14
Space Needs,$,"3,775,000",$,"50,000",$,"550,000",$,-,$,"800,000",$,-,$,"1,400,000"
Economic Development,,"750,000",,"2,839,520",,"3,584,328",,"5,205,216",,"3,401,551",,"3,538,783",,"18,569,398"
Fire & Rescue,,"1,080,000",,"2,210,000",,"900,000",,"1,275,000",,"600,000",,"300,000",,"5,285,000"
Parks & Recreation,,-,,"585,000",,"1,195,000",,"6,860,000",,"870,000",,"450,000",,"9,960,000"
Public Schools,,-,,"500,000",,-,,-,,"924,742",,"853,135",,"2,277,877"
Public Utilities,,"6,465,295",,"3,553,380",,"4,453,131",,"6,522,121",,"9,199,726",,"5,995,972",,"29,724,330"
Public Works,,"220,000",,"180,000",,"220,000",,"210,000",,"50,000",,"50,000",,"710,000"
Smithfield YMCA,,"25,000",,"25,000",,"25,000",,"25,000",,-,,-,,"75,000"
Community Development,,"250,000",,-,,"1,050,000",,"800,000",,"800,000",,"800,000",,"3,450,000"
Electoral Board,,-,,"15,000",,"25,000",,"125,000",,-,,-,,"165,000"
Blackwater Regional Library,,-,,-,,-,,-,,-,,-,,-
Engineering Department,,"25,000",,"25,000",,"25,000",,"25,000",,"25,000",,"25,000",,"125,000"
Red Cross,,"25,000",,"25,000",,"50,000",,"50,000",,"50,000",,"50,000",,"225,000"
Contingency,,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"500,000"
TOTAL:,"$ 12,715,295","$ 12,715,295","$ 10,107,900","$ 10,107,900",$,"12,177,459",$,"21,197,337",$,"16,821,019",$,"12,162,890",$,"72,466,605"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"1,000,000",$,"290,000",$,"2,685,000",$,"2,740,000",$,"2,515,000",$,"2,665,000",$,"10,895,000"
Fund Balance/Reserves,,"1,550,000",,-,,-,,-,,-,,-,,-
Bonded / Note Debt,,"7,315,295",,"9,817,900",,"9,132,459",,"18,097,337",,"13,946,019",,"9,137,890",,"60,131,605"
Grants/Donations/Other,,-,,-,,"360,000",,"360,000",,"360,000",,"360,000",,"1,440,000"
TOTAL:,$,"9,865,295","$ 10,107,900","$ 10,107,900",$,"12,177,459",$,"21,197,337",$,"16,821,019",$,"12,162,890",$,"72,466,605"
,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,
,,,,,,,,,,,,TOTAL,,10 YEAR
Department / Agency,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,,FY 2016-17,,FY 2017-18,,FY 2018-19,,FY 2015-19,,TOTAL
Space Needs,$,"4,000,000",$,"7,500,000",$,"8,232,000",$,"4,500,000",$,-,$,"24,232,000",$,"25,632,000"
Economic Development,,"4,617,955",,"4,771,057",,"4,484,798",,"8,821,431",,"3,705,987",,"26,401,228",,"44,970,626"
Fire & Rescue,,"200,000",,"775,000",,"2,100,000",,"2,050,000",,-,,"5,125,000",,"10,410,000"
Parks & Recreation,,"4,085,000",,"830,000",,"4,245,000",,"450,000",,"1,200,000",,"10,810,000",,"20,770,000"
Public Schools,,"20,687,772",,"1,808,550",,"41,238,450",,-,,-,,"63,734,772",,"66,012,649"
Public Utilities,,"11,700,416",,"13,163,518",,"12,747,530",,"12,988,307",,"12,082,860",,"62,682,631",,"92,406,961"
Public Works,,"180,000",,"55,000",,-,,"60,000",,"60,000",,"355,000",,"1,065,000"
Smithfield YMCA,,-,,-,,-,,-,,-,,-,,"75,000"
Community Development,,"550,000",,"550,000",,"550,000",,"550,000",,"550,000",,"2,750,000",,"6,200,000"
Electoral Board,,-,,-,,-,,-,,-,,-,,"165,000"
Blackwater Regional Library,,"410,400",,"4,719,600",,"110,410",,"1,266,340",,-,,"6,506,750",,"6,506,750"
Engineering Department,,"50,000",,"50,000",,"50,000",,"50,000",,"50,000",,"250,000",,"375,000"
Red Cross,,-,,-,,-,,-,,-,,-,,"225,000"
Contingency,,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"500,000",,"1,000,000"
TOTAL:,"$ 46,581,543","$ 46,581,543","$ 34,322,725","$ 34,322,725",$,"73,858,188",$,"30,836,078",$,"17,748,847","$ 203,347,381","$ 203,347,381",$,"275,813,986"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"3,445,000",$,"3,045,000",$,"2,940,000",$,"2,750,000",$,"2,600,000",,"14,780,000",$,"25,675,000"
Fund Balance/Reserves,,-,,-,,-,,-,,-,,-,,-
Bonded / Note Debt,,"42,776,543",,"30,917,725",,"70,558,188",,"27,726,078",,"14,788,847",,"186,767,381",,"246,898,986"
Grants/Donations/Other,,"360,000",,"360,000",,"360,000",,"360,000",,"360,000",,"1,800,000",,"3,240,000"
TOTAL:,"$ 46,581,543","$ 46,581,543","$ 34,322,725","$ 34,322,725",$,"73,858,188",$,"30,836,078",$,"17,748,847","$ 203,347,381","$ 203,347,381",$,"275,813,986"
,,,,,,,,,,,,,,2
4/3/2009,,,,,,,,,,,,,,
