Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”,Name: “Table 1 of 1 on page 7 of 22”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,
,,,,Fire & Rescue,Fire & Rescue,Fire & Rescue,,,,,,,,
,,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,,Budget,,,,,,,,,,,,TOTAL
Department / Agency,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,,FY 2010-14
County Wide,,,,,,,,,,,,,,
SCBA Replacement,,,"$ 1,100,000","$ 1,100,000",,,,,,,,,,"1,100,000"
Carrollton Fire:,,,,,,,,,,,,,,-
Engine Truck-replace,,"420,000",,,,,,,,,,,,-
Brush Truck - Replace,,,,,,"100,000",,,,,,,,"100,000"
Carrsville Fire:,,,,,,,,,,,,,,-
Engine Truck-replace,,,,,,,,"450,000",,,,,,"450,000"
First Response Vehicle,,,,,,,,"100,000",,,,,,"100,000"
Tanker -replace,,,,,,,,,,"450,000",,,,"450,000"
Rushmere Fire:,,,,,,,,,,,,,,-
Buillding Addition,,"550,000",,,,,,,,,,,,-
Engine Replacement,,,,"450,000",,,,,,,,,,"450,000"
Command Vehicle,,,,,,,,"85,000",,,,,,"85,000"
Water Tanks,,,,,,,,,,,,"50,000",,"50,000"
Smithfield Fire:,,,,,,,,,,,,,,-
Rescue 51-replace,,,,"600,000",,,,,,,,,,"600,000"
Engine Truck-replace,,,,,,,,"500,000",,,,,,"500,000"
Brush Truck Replace,,,,,,,,,,,,"100,000",,"100,000"
Windsor Fire:,,,,,,,,,,,,,,-
Equipment - miscellaneous,,,,,,"500,000",,,,,,,,"500,000"
Isle of Wight Rescue:,,,,,,,,,,,,,,-
Ambulance-replace,,"110,000",,,,,,,,,,-,,-
Second Zone Vehicle,,,,"35,000",,,,,,,,,,"35,000"
Medic Replacement,,,,,,"180,000",,,,,,,,"180,000"
Medic Replace Incr,,,,,,,,"140,000",,,,,,"140,000"
Windsor Rescue:,,,,,,,,,,,,,,-
Monitor/Defib - replace,,,,,,,,,,"150,000",,,,"150,000"
Equipment - cart,,,,"25,000",,,,,,,,,,"25,000"
Ambulance-replace,,-,,-,,"120,000",,-,,-,,"150,000",,"270,000"
TOTAL:,"$ 1,080,000","$ 1,080,000","$ 2,210,000","$ 2,210,000",$,"900,000","$ 1,275,000","$ 1,275,000",$,"600,000",$,"300,000",$,"5,285,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,-,$,"60,000",$,"100,000",$,"200,000",$,"150,000",$,"300,000",$,"810,000"
Fund Balance/Reserves,,"1,080,000",,-,,-,,-,,-,,,,-
Bonded / Note Indebtedness,,,,"2,150,000",,"800,000",,"1,075,000",,"450,000",,,,"4,475,000"
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,"$ 1,080,000","$ 1,080,000","$ 2,210,000","$ 2,210,000",$,"900,000","$ 1,275,000","$ 1,275,000",$,"600,000",$,"300,000",$,"5,285,000"
,,,,,,,,,,,,,,5
4/3/2009,,,,,,,,,,,,,,
