Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”,Name: “Table 1 of 1 on page 17 of 22”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,,,,,,,
,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,Community Development,Community Development,Community Development,Community Development,Community Development,Community Development,,,,,,,
,,,Capital,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,Prior Years,Prior Years,Budget,Budget,,,,,,,,,,,,TOTAL
Department / Agency,,Funding,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
CDBG Programs Reserve,$,"100,000",$,-,,,$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"200,000"
Pinewood Heights Relocation,,"250,000",,"250,000",,,,"250,000",,,,,,,,"250,000"
Rt. 17 Revitalization,,"100,000",,-,,,,"125,000",,"125,000",,"125,000",,"125,000",,"500,000"
Rt. 58 Revitalization,,"100,000",,-,,,,"125,000",,"125,000",,"125,000",,"125,000",,"500,000"
Land Preservation Reserve,,"1,475,000",,-,,-,,"500,000",,"500,000",,"500,000",,"500,000",,"2,000,000"
TOTAL:,"$ 2,025,000","$ 2,025,000",$,"250,000",$,-,"$ 1,050,000","$ 1,050,000",$,"800,000",$,"800,000",$,"800,000","$ 3,450,000",
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,,,,,$,-,"$ 1,050,000","$ 1,050,000",$,"800,000",$,"800,000",$,"800,000","$ 3,450,000",
Fund Balance/Reserves,,,,,,-,,-,,,,,,,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,-,$,-,$,-,"$ 1,050,000","$ 1,050,000",$,"800,000",$,"800,000",$,"800,000","$ 3,450,000",
,,,,,,,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,,,,,,10 Year
,,,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,,,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
CDBG Programs Reserve,,,$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"450,000"
Pinewood Heights Relocation,,,,-,,-,,-,,-,,-,,-,,"250,000"
Rt. 17 Revitalization,,,,,,,,,,,,,,-,,"500,000"
Rt. 58 Revitalization,,,,-,,-,,-,,-,,-,,-,,"500,000"
Land Preservation Reserve,,,,"500,000",,"500,000",,"500,000",,"500,000",,"500,000",,"2,500,000",,"4,500,000"
TOTAL:,,,$,"550,000",$,"550,000",$,"550,000",$,"550,000",$,"550,000","$ 2,750,000","$ 2,750,000","$ 6,200,000",
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,,,$,"550,000",$,"550,000",$,"550,000",$,"550,000",$,"550,000","$ 2,750,000","$ 2,750,000","$ 6,200,000",
Fund Balance/Reserves,,,,-,,,,,,,,-,,-,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,-,,-
Grants / Donations / Other,,,,-,,-,,-,,-,,-,,-,,-
TOTAL:,,,$,"550,000",$,"550,000",$,"550,000",$,"550,000",$,"550,000","$ 2,750,000","$ 2,750,000","$ 6,200,000",
Comments / Notes,,,,,,,,,,,,,,,,
Pinewood Heights Relocation,,,,,,,,,,,,,,,,
Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,Relocation assistance for Pinewood Heights in accordance with CDBG grant applied for by Town of Smithfield (Phase I) and MOU with County.,
Land Preservation Reserve,,,,,,,,,,,,,,,,
Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,Reserve established to be used for the purchase of identified properties in the County for recreational purposes OR preservation of green space.,
