Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”,Name: “Table 1 of 1 on page 16 of 22”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,,,,,,,,,
,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
,,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,,Smithfield YMCA,Smithfield YMCA,Smithfield YMCA,Smithfield YMCA,,,,,,,,
,,,Capital,Capital,,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,Prior Years,Prior Years,Budget,Budget,,,,,,,,,,,TOTAL,
Department / Agency,,Funding,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
Swimming Pool Expansion,,,,,,,,,,,,,,,,-
10 Year Contribution,$,"150,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,-,$,-,$,"75,000"
TOTAL:,$,"150,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,-,$,-,$,"75,000"
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,$,"150,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,-,$,-,$,"75,000"
Fund Balance/Reserves,,,,-,,,,,,,,,,,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"150,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,-,$,-,$,"75,000"
Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,Above represents a 10 year commitment by the Board of Supervisors for the period FY 2002 to FY 2011.,,,,,
,,,,,,,,,,,,,,,,14
4/3/2009,,,,,,,,,,,,,,,,
