Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”,Name: “Table 1 of 1 on page 11 of 22”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,,,,
,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,,Public Schools,Public Schools,,,,,,,,,
,,,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,,,Budget,,,,,,,,,,,,TOTAL
Department / Agency,,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
Hardy Elementary:,,,,,,,,,,,,,,,-
Replace Windows,,,,,,,,,,,"924,742",,,,"924,742"
Smithfield High School:,,,,,,,,,,,,,,,-
Land Acquisition,,,,,"500,000",,,,,,,,,,"500,000"
Windsor Middle School:,,,,,,,,,,,,,,,-
Replace School Facility,,,-,,-,,-,,-,,-,,"853,135",,"853,135"
,TOTAL:,$,-,$,"500,000",$,-,$,-,$,"924,742",$,"853,135",$,"2,277,877"
Revenue Sources:,,,,,,,,,,,,,,,
Operating Revenues,,$,-,$,-,$,-,$,-,$,-,$,-,$,-
Fund Balance/Reserves,,,-,,,,-,,,,-,,-,,-
Bonded / Note Indebtedness,,,-,,"500,000",,-,,-,,"924,742",,"853,135",,"2,277,877"
Grants / Donations / Other,,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,-,$,"500,000",$,-,$,-,$,"924,742",$,"853,135",$,"2,277,877"
,,,,,,,Year 6 through 10,Year 6 through 10,,,,,,,10 Year
,,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Carrollton Elementary:,,,,,,,,,,,,,,,-
Replace Roof,,,"1,058,845",,-,,,,,,,,"1,058,845",,"1,058,845"
Carrsville Elementary:,,,,,,,,,,,,,,,-
Replace Gymnasium,,,"15,000",,"1,808,550",,,,,,,,"1,823,550",,"1,823,550"
Hardy Elementary:,,,,,,,,,,,,,,,-
Replace Windows,,,,,,,,,,,,,-,,"924,742"
Westside Elementary:,,,,,,,,,,,,,,,
Replace Windows,,,,,,,"1,017,412",,,,,,"1,017,412",,"1,017,412"
Smithfield High School:,,,,,,,,,,,,,,,-
Land Acquisition,,,,,,,,,,,,,,,"500,000"
Campus Renovation/Addition,Campus Renovation/Addition,,,,,,"40,221,038",,,,,,"40,221,038",,"40,221,038"
Windsor Middle School:,,,,,,,,,,,,,,,-
Replace School Facility,,,"19,613,927",,-,,-,,-,,-,,"19,613,927",,"20,467,062"
,TOTAL:,"$ 20,687,772","$ 20,687,772","$ 1,808,550","$ 1,808,550","$ 41,238,450","$ 41,238,450",$,-,$,-,"$ 63,734,772","$ 63,734,772","$ 66,012,649",
Revenue Sources:,,,,,,,,,,,,,,,
Operating Revenues,,$,-,$,-,$,-,$,-,$,-,$,-,$,-
Fund Balance/Reserves,,,-,,,,-,,-,,-,,-,,-
Bonded / Note Indebtedness,,,"20,687,772",,"1,808,550",,"41,238,450",,-,,-,,"63,734,772",,"66,012,649"
Grants / Donations / Other,,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,"$ 20,687,772","$ 20,687,772","$ 1,808,550","$ 1,808,550","$ 41,238,450","$ 41,238,450",$,-,$,-,"$ 63,734,772","$ 63,734,772","$ 66,012,649",
Comments / Notes:,,,,,,,,,,,,,,,
Central Bus Garage Expansion,Central Bus Garage Expansion,,,,,,,,,,,,,,
Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,Subcomittee suggested that the school district explore opportunities to share services for transportation maintenance with adjoining school districts .,
