Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”,Name: “Table 1 of 1 on page 8 of 22”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,
,,,,Fire & Rescue,Fire & Rescue,Fire & Rescue,,,,,,,,
,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
County Wide,,,,,,,,,,,,,,
SCBA Replacement,,,,,,,,,,,,-,,"1,100,000"
Carrollton Fire:,,,,,,,,,,,,-,,-
Brush Truck - Replace,,,,,,,,,,,,-,,"100,000"
Quint - replace,,,,,,"1,400,000",,,,,,"1,400,000",,"1,400,000"
Carrsville Fire:,,,,,,,,,,,,-,,-
Engine Truck-replace,,,,,,,,,,,,-,,"450,000"
First Response Vehicle,,,,,,,,,,,,-,,"100,000"
Tanker -replace,,,,,,,,,,,,-,,"450,000"
Rushmere Fire:,,,,,,,,,,,,-,,-
Engine Replacement,,,,-,,,,"500,000",,,,"500,000",,"950,000"
Command Vehicle,,,,,,,,,,,,,,"85,000"
Water Tanks,,,,,,,,,,,,,,"50,000"
Smithfield Fire:,,,,,,,,,,,,-,,-
Rescue 51-replace,,,,,,,,,,,,-,,"600,000"
Engine Truck-replace,,,,"600,000",,,,,,,,"600,000",,"1,100,000"
Brush Truck Replace,,,,,,,,,,,,-,,"100,000"
Engine Rehab,,,,"125,000",,,,,,,,"125,000",,"125,000"
Ladder Truck Replace,,,,,,,,"1,400,000",,,,"1,400,000",,"1,400,000"
Windsor Fire:,,,,,,,,,,,,-,,-
Equipment - miscellaneous,,,,,,,,,,,,-,,"500,000"
Tanker Replace,,,,,,"500,000",,,,,,"500,000",,"500,000"
Isle of Wight Rescue:,,,,,,,,,,,,-,,-
Second Zone Vehicle,,,,,,,,,,,,-,,"35,000"
Medic Replace,,"200,000",,,,"200,000",,,,,,"400,000",,"580,000"
Medic Replace Incr,,,,,,,,,,,,-,,"140,000"
Windsor Rescue:,,,,,,,,,,,,-,,-
Monitor/Defib - replace,,,,,,,,,,,,-,,"150,000"
New Zone Car,,,,"50,000",,,,,,,,"50,000",,"50,000"
Equipment - cart,,,,,,,,,,,,-,,"25,000"
Ambulance-replace,,-,,,,,,"150,000",,-,,"150,000",,"420,000"
TOTAL:,$,"200,000",$,"775,000","$ 2,100,000","$ 2,100,000","$ 2,050,000","$ 2,050,000",$,-,"$ 5,125,000","$ 5,125,000",$,"10,410,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"200,000",$,"400,000",$,"400,000",$,"400,000",$,-,$,"400,000",$,"1,210,000"
Fund Balance/Reserves,,-,,,,-,,-,,,,-,,-
Bonded / Note Indebtedness,,,,"375,000",,"1,700,000",,"1,650,000",,,,"4,725,000",,"9,200,000"
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"200,000",$,"775,000","$ 2,100,000","$ 2,100,000","$ 2,050,000","$ 2,050,000",$,-,"$ 5,125,000","$ 5,125,000",$,"10,410,000"
Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,Above amounts represents 100% paid by County and $0 contribution from associations.,,,,,
County and/or associations will apply for equipment grants each year.,County and/or associations will apply for equipment grants each year.,County and/or associations will apply for equipment grants each year.,County and/or associations will apply for equipment grants each year.,County and/or associations will apply for equipment grants each year.,County and/or associations will apply for equipment grants each year.,County and/or associations will apply for equipment grants each year.,,,,,,,,
,,,,,,,,,,,,,,6
4/3/2009,,,,,,,,,,,,,,
