Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”,Name: “Table 1 of 1 on page 22 of 22”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,Contingency,Contingency,,,,,,,,,
,Capital,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,Budget,Budget,,,,,,,,,,,,TOTAL
Department / Agency,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
Contingency,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000"
,,,,,,,,,,,,,,-
TOTAL:,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000"
Fund Balance/Reserves,,,,,,,,,,,,,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000"
,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Contingency,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000","$ 1,000,000",
,,,,,,,,,,,,-,,-
TOTAL:,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000","$ 1,000,000",
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000","$ 1,000,000",
Fund Balance/Reserves,,,,,,,,,,,,-,,-
Bonded / Note Indebtedness,,,,,,,,,,,,-,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000","$ 1,000,000",
,,,,,,,,,,,,,,20
4/3/2009,,,,,,,,,,,,,,
