Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”,Name: “Table 1 of 1 on page 18 of 22”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,Registrar / Electoral Board,Registrar / Electoral Board,Registrar / Electoral Board,Registrar / Electoral Board,Registrar / Electoral Board,Registrar / Electoral Board,,,,,,,
,Capital,Capital,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,Budget,Budget,,,,,,,,,,,,TOTAL
Department / Agency,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
Replace Voting Machines (15),$,-,$,-,,,$,"125,000",$,-,$,-,$,"125,000"
Electronic Poll Book Systems (45),,,,"15,000",,,,,,,,,,"15,000"
Lockable Portable Cages,,-,,-,,"25,000",,-,,-,,-,,"25,000"
TOTAL:,$,-,$,"15,000",$,"25,000",$,"125,000",$,-,$,-,$,"165,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,-,$,"15,000",$,"25,000",$,"125,000",$,-,$,-,$,"165,000"
Fund Balance/Reserves,,,,,,,,,,,,,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,-,$,"15,000",$,"25,000",$,"125,000",$,-,$,-,$,"165,000"
,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Replace Voting Machines,$,-,$,-,$,-,$,-,$,-,$,-,$,"125,000"
Electronic Poll Book Systems (45),,,,-,,,,,,,,,,"15,000"
Lockable Portable Cages,,-,,-,,-,,-,,-,,-,,"25,000"
TOTAL:,$,-,$,-,$,-,$,-,$,-,$,-,$,"165,000"
Revenue Sources:,,,,,,,,,,,,,,
Operating Revenues,$,-,$,-,$,-,$,-,$,-,$,-,$,"165,000"
Fund Balance/Reserves,,-,,,,,,,,,,-,,-
Bonded / Note Indebtedness,,,,,,,,,,,,-,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,-,$,-,$,-,$,-,$,-,$,-,$,"165,000"
,,,,,,,,,,,,,,16
4/3/2009,,,,,,,,,,,,,,
