Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”,Name: “Table 1 of 1 on page 9 of 32”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,
,,,,,Water Purchases Outside Planning Area,Water Purchases Outside Planning Area,Water Purchases Outside Planning Area,Water Purchases Outside Planning Area,,,,Office of Water Supply Planning,
,,,,,,,,,,,,"629 East Main Street,",
,,,,,Southside Hampton Roads,Southside Hampton Roads,Southside Hampton Roads,,,,,,
,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplannin,http://www.deq.virginia.gov/watersupplyplannin,
List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,List information regarding the amount of ground or surface water to be purchased from water supply systems outside the geographic boundaries of the planning area (9 VAC 25-780-70G). Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note","If unable to find data or data not applicable, note"
accordingly.,"If applicable, mark and label on associated map.","If applicable, mark and label on associated map.",,,,,,,,,,,
AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),,
,,Source:,,,Amount to be Purchased:,,,,,Contract Limitations:,Contract Limitations:,,
"PWSID#,",,,Surface Water,Maximum,Maximum,Average,Average,,,,,,
Community Water,Ground Water,Reservoir & Sub-basin or,Reservoir & Sub-basin or,Daily,Daily,Annual,Annual,Supplier(s) Name(s),Contract or,,Recipient(s),,
System Name,Well Name & ID No.,Stream/River Name & Sub-basin,Stream/River Name & Sub-basin,(gpd),(MGD),(gpd),(MGD),(PWSID #),Agreement Terms,or Area(s) Served,or Area(s) Served,Contract Limits,Other
,NA,Lake Gaston and,Stumpy Lake,"67,500,000",67.50,"45,000,000",45.00,3710100 City of Norfolk,Norfolk treats and wheels Lake,City of Virginia Beach,City of Virginia Beach,,
City of Virginia Beach,,,,,,,,,Gaston water for Virginia Beach in,,,"June 30, 2030",
,,,,,,,,,accordance with a cost of service,,,,
,,,,,,,,,contract.,,,,
Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,67.50,,45.00,,,,,,
"List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions","List information for the amount of ground or surface water available to be purchased from outside the geographic boundaries of the planning area from water supply systems with the capacity to draw more than 300,000 gallons per month (9 VAC 25-780-70H). Reference sources and note any assumptions"
regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark and label on associated map.","If applicable, mark and label on associated map.",,,,,,,,
"AMOUNT OF WATER AVAILABLE TO BE PURCHASED,","AMOUNT OF WATER AVAILABLE TO BE PURCHASED,","AMOUNT OF WATER AVAILABLE TO BE PURCHASED,","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER","OUTSIDE THE PLANNING AREA, FROM ANY SOURCE WITH CAPACITY TO WITHDRAW MORE THAN 300,000 GALLONS PER MONTH OF SURFACE OR GROUND WATER"
(9 VAC 25-780-70H),,,,,,,,,,,,,
,,Source:,,,Amount Available,,,,,Contract Limitations:,Contract Limitations:,,
,,,,,to be Purchased:,,,,,,,,
"PWSID#,",,,Surface Water,Maximum,Maximum,Average,Average,,,,,,
Community Water,Ground Water,Reservoir & Sub-basin or,Reservoir & Sub-basin or,Daily,Daily,Annual,Annual,Supplier(s) Name(s),Contract or,,Recipient(s),,
System Name,Well Name & ID No.,Stream/River Name & Sub-basin,Stream/River Name & Sub-basin,(gpd),(MGD),(gpd),(MGD),(PWSID #),Agreement Terms,or Area(s) Served,or Area(s) Served,Contract Limits,Other
3550050,,,,,,,,,,,,,
,,,,,,,,3810900 City of Virginia,Contract is with the City of Virginia,,,,
City of Chesapeake -,NA,,Lake Gaston,"10,000,000",10.00,"10,000,000",10.00,,,,TBD,11/17/1987 - open ended,
,,,,,,,,Beach,Beach for 10 MGD.,,,,
Northwest System,,,,,,,,,,,,,
Total Amount of Water Available for Purchase Outside the Planning Area (MGD):,Total Amount of Water Available for Purchase Outside the Planning Area (MGD):,Total Amount of Water Available for Purchase Outside the Planning Area (MGD):,Total Amount of Water Available for Purchase Outside the Planning Area (MGD):,Total Amount of Water Available for Purchase Outside the Planning Area (MGD):,10.00,,10.00,,,,,,
,,,,,,1,,,,,,,
