Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”,Name: “Table 1 of 1 on page 6 of 32”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Community Water Systems: Reservoir Sources,Community Water Systems: Reservoir Sources,Community Water Systems: Reservoir Sources,Community Water Systems: Reservoir Sources,,,,,Office of Water Supply Planning,Office of Water Supply Planning,
,,,,,,,,,,Southside Hampton Roads,Southside Hampton Roads,,,,,,"629 East Main Street,","629 East Main Street,",
,,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218,
,,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning,http://www.deq.virginia.gov/watersupplyplanning,http://www.deq.virginia.gov/watersupplyplanning,
List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark reservoirs and intakes on associated map.","If applicable, mark reservoirs and intakes on associated map.",,,,,
COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),,,,,,,,,,
Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,,Yes,,No,No,,,,,,,,,,
"If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.",Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the
entire system or subsets of the system.,entire system or subsets of the system.,entire system or subsets of the system.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,,,
,,,,,,,,,,,,,,,,,,Notes,Notes
,,,,,Reservoir,,,,,,,,,,,,Limitations,,
,,,,,,,,,,,,,,Reservoir,,VDH Permitted,,or,
,,,,,watershed,,,On-Stream,,,,,,,VDH Permitted,,on,,
,,,,,,On-Stream Storage,On-Stream Storage,,,,,,Associated,Safe Yield,,System,,Comments,Comments
,,,Reservoir watershed,Reservoir watershed,Drainage,,,Storage Available,Average Daily,Average Daily,Maximum Daily,Maximum Daily,,Associated Water,System Capacity,,Withdrawal,,
PWSID #,Water System Name,Reservoir Name,,,,Available for Water,Available for Water,,,,,,Water,,,Capacity,,,
,,,Basin/ Sub-basin,Basin/ Sub-basin,Area,,,for Water Supply,Withdrawal,Withdrawal,Withdrawal,Withdrawal,,Treatment Plant,,,Permit,,
,,,,,,Supply,(gallons),,,,,,Treatment Plant,,,,,,
,,,,,,,,(MG),,,,,,,(gpd),,,,
,,,,,,,,,,,,,,(MGD),,(MGD),(This may include references,(This may include references,(This may include references
,,,,,(square miles),,,,(gpd),(MGD),(gpd),(MGD),,(MGD),,,,,
,,,,,,,,,,,,,(gpd),,,,"to maps, data sources, data","to maps, data sources, data","to maps, data sources, data"
,,,,,,,,,,,,,,,,,,"gaps, etc.)","gaps, etc.)"
Chesapeake,,,,,,,,,,,,,,,,,,,
,,Water is stored at In-,Note:,"The In-Town Lakes are an emergency, short-term","The In-Town Lakes are an emergency, short-term","The In-Town Lakes are an emergency, short-term","The In-Town Lakes are an emergency, short-term",,,,,,,,,,,,
,City of Chesapeake -,Town Lakes (Deep,backup supply of water for the Lake Gaston Water Treatment,backup supply of water for the Lake Gaston Water Treatment,backup supply of water for the Lake Gaston Water Treatment,backup supply of water for the Lake Gaston Water Treatment,backup supply of water for the Lake Gaston Water Treatment,,,,,,,,,,Purchase from 3710100 City of,Purchase from 3710100 City of,Purchase from 3710100 City of
3550051,,,,,,,,,,,,,,,,,,,
,Northwest River System,Creek area of,Plant in the event that the raw water supply from the City of,Plant in the event that the raw water supply from the City of,Plant in the event that the raw water supply from the City of,Plant in the event that the raw water supply from the City of,Plant in the event that the raw water supply from the City of,,,,,,,,,,Norfolk.,,
,,Chesapeake),Norfolk is interrupted or compromised.,Norfolk is interrupted or compromised.,Norfolk is interrupted or compromised.,,,,,,,,,,,,,,
,City of Chesapeake - South,,,,,,,,,,,,,,,,Purchase from 3710100 City of,Purchase from 3710100 City of,Purchase from 3710100 City of
3550052,,,,,,,,,,,,,,,,,,,
,Norfolk System,,,,,,,,,,,,,,,,Norfolk,,
,City of Chesapeake -,,,,,,,,,,,,,,,,Purchase from 3740600 City of,Purchase from 3740600 City of,Purchase from 3740600 City of
3550050,,,,,,,,,,,,,,,,,,,
,Western Branch System,,,,,,,,,,,,,,,,Portsmouth,Portsmouth,
Norfolk,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VDH Permitted Capacity is based,VDH Permitted Capacity is based,VDH Permitted Capacity is based
,,Lake Lawson,Lower Chesapeake,Lower Chesapeake,2.08,"108,000,000","108,000,000",108.00,0,0.00,0,0.00,,,,,,,
,,,,,,,,,,,,,,,,,on Total Water Treatment Plant,on Total Water Treatment Plant,on Total Water Treatment Plant
,,,,,,,,,,,,,,,,,Rated Capacity.,Rated Capacity.,
,,,,,,,,,,,,,,,,,Average Daily design capacity for,Average Daily design capacity for,Average Daily design capacity for
,,Lake Smith,Lower Chesapeake,Lower Chesapeake,3.35,"295,000,000","295,000,000",295.00,0,0.00,0,0.00,,,,,,,
,,,,,,,,,,,,,,,,,withdrawal is calculated by,withdrawal is calculated by,withdrawal is calculated by
,,,,,,,,,,,,,,,,,dividing the maximum daily by a,dividing the maximum daily by a,dividing the maximum daily by a
,,,,,,,,,,,,,,,,,design basis factor of 1.5.,design basis factor of 1.5.,design basis factor of 1.5.
,,Little Creek,,,,,,,,,,,,,,,,,
,,,Lower Chesapeake,Lower Chesapeake,1.71,"372,000,000","372,000,000",372.00,0,0.00,0,0.00,,,,,Safe Yield Study (Gannett,Safe Yield Study (Gannett,Safe Yield Study (Gannett
,,Reservoir,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Flemming, 1996).","Flemming, 1996).",The Safe Yield
,,,,,,,,,,,,,,,,,cited results from the blending of,cited results from the blending of,cited results from the blending of
,City of Norfolk (Intown,,,,,,,,,,,,Moores Bridges,,,,surface water and groundwater in,surface water and groundwater in,surface water and groundwater in
,,,,,,,,,,,,,,108.00,,,,,
,Reservoirs),Lake Whitehurst,Lower Chesapeake,Lower Chesapeake,5.72,"1,033,000,000","1,033,000,000","1,033.00",0,0.00,0,0.00,WTP = 108 MGD,,,,a conjuctive use manner.,a conjuctive use manner.,a conjuctive use manner.
,,,,,,,,,,,,,,,,,"Originally, Norfolk's Safe Yield","Originally, Norfolk's Safe Yield","Originally, Norfolk's Safe Yield"
,,,,,,,,,,,,,,,,,was determined to be 97.5 mgd,was determined to be 97.5 mgd,was determined to be 97.5 mgd
,,,,,,,,,,,,,,,,,and was lowered to 92.5 after the,and was lowered to 92.5 after the,and was lowered to 92.5 after the
3710100,,,,,,,,,,,,,,92.50,"136,000,000",136.00,N/A,,
,,,,,,,,,,,,,,,,,sale of Stumpy Lake to the City of,sale of Stumpy Lake to the City of,sale of Stumpy Lake to the City of
,,Lake Wright,Lower Chesapeake,Lower Chesapeake,0.96,"130,000,000","130,000,000",130.00,"38,670,000",38.67,"58,000,000",58.00,,,,,,,
,,,,,,,,,,,,,,,,,Virginia Beach.,Virginia Beach.,
,,,,,,,,,,,,,,,,,Lake Taylor is considered part of,Lake Taylor is considered part of,Lake Taylor is considered part of
,,,,,,,,,,,,,,,,,"the ""Intown Reservoir System"" but","the ""Intown Reservoir System"" but","the ""Intown Reservoir System"" but"
,,Lake Taylor,Lower Chesapeake,Lower Chesapeake,2.00,"26,000,000","26,000,000",26.00,0,0.00,0,0.00,,,,,is not used anymore due to its,is not used anymore due to its,is not used anymore due to its
,,,,,,,,,,,,,,,,,limited storage capacity and lack,limited storage capacity and lack,limited storage capacity and lack
