Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,CWS Annual Average and Average Monthly Water Use,,,,,,,,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,,,,,,Southside Hampton Roads,Southside Hampton Roads,Southside Hampton Roads,,,,,,,,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218,23218
,,,,,,,,,,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.",,,,,,,,
Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 6 and fill out a separate spreadsheet for each data year.,,,,,,,,,,,,,,,,,,,,
Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),Community Water Systems Using Ground and Surface Water:annual average and average monthly water use (9 VAC 25-780-80 B4),,,,,,,,,,,,,,,,,
,,,,,,,,Chesapeake,Chesapeake,,,,,,,,,,,Portsmouth,,,Norfolk,,,
,,PWSID #3550051,,PWSID #3550050,PWSID #3550050,PWSID #3550050,PWSID #3550052,PWSID #3550052,PWSID #3550052,,PWSID #3550620,,PWSID #3550750,PWSID #3550750,,PWSID #3550500,PWSID #3550500,,,PWSID #3740600,,,3710100,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Locality or
,,Northwest System,,City of Chesapeake - Western Branch,City of Chesapeake - Western Branch,City of Chesapeake - Western Branch,City of Chesapeake - South Norfolk,City of Chesapeake - South Norfolk,City of Chesapeake - South Norfolk,Naval Support Activity - NW Annex,Naval Support Activity - NW Annex,Naval Support Activity - NW Annex,VDOC - Saint Brides Correctional Center,VDOC - Saint Brides Correctional Center,VDOC - Saint Brides Correctional Center,Indian River Water Co.,Indian River Water Co.,Indian River Water Co.,,City of Portsmouth,,,City of Norfolk,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Locality or,Region Total
,,Source: GW & SW,,,Source SWP,,,Source SWP,,,Source: GW,,,Source: GW,,,Source: GW,,,Source: GW & SW,,,Source GW & SW,,Region Total,Average
,,,,,,,,,,,,,,,,,,,,,,,,,Water Use,Monthly
,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,,
YEAR,,,,,,,,,,,,,,,,,,,,,,,,,(MG/Mo),by Month
,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(MGD)
2007,(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),,
January,"304,186",304.19,9.812,"88,820",88.82,2.865,"57,170",57.17,1.844,"3,425,500",3.43,0.111,,6.86,0.221,,3.30,0.106,,371.60,11.987,,617.45,19.918,"1,452.81",46.86
February,"283,489",283.49,10.125,"75,212",75.21,2.686,"58,349",58.35,2.084,"3,591,600",3.59,0.128,,6.66,0.238,,3.30,0.118,,399.80,14.279,,457.93,16.355,"1,288.33",46.01
March,"309,407",309.41,9.981,"85,610",85.61,2.762,"72,156",72.16,2.328,"3,108,800",3.11,0.100,,7.24,0.234,,3.87,0.125,,434.00,14.000,,561.71,18.120,"1,477.11",47.65
April,"316,465",316.47,10.549,"85,671",85.67,2.856,"98,284",98.28,3.276,"3,169,900",3.17,0.106,,6.72,0.224,,2.98,0.099,,411.80,13.727,,512.29,17.076,"1,437.38",47.91
May,"354,309",354.31,11.429,"97,979",97.98,3.161,"67,226",67.23,2.169,"3,317,300",3.32,0.107,,7.35,0.237,,3.64,0.117,,442.20,14.265,,559.03,18.033,"1,535.05",49.52
June,"373,051",373.05,12.435,"98,151",98.15,3.272,"65,021",65.02,2.167,"3,408,700",3.41,0.114,,7.29,0.243,,3.45,0.115,,437.50,14.583,,624.89,20.830,"1,612.76",53.76
July,"393,975",393.98,12.709,"103,911",103.91,3.352,"106,697",106.70,3.442,"3,837,100",3.84,0.124,,7.50,0.242,,2.90,0.094,,468.10,15.100,,667.62,21.536,"1,754.54",56.60
August,"392,002",392.00,12.645,"95,407",95.41,3.078,"93,709",93.71,3.023,"3,850,700",3.85,0.124,,7.13,0.230,,3.85,0.124,,448.30,14.461,,657.27,21.202,"1,701.52",54.89
September,"369,806",369.81,12.327,"91,168",91.17,3.039,"90,805",90.81,3.027,"3,803,300",3.80,0.127,,6.84,0.228,,2.78,0.093,,427.40,14.247,,648.17,21.606,"1,640.76",54.69
October,"366,535",366.54,11.824,"88,879",88.88,2.867,"86,157",86.16,2.779,"3,331,500",3.33,0.107,,6.93,0.224,,3.05,0.098,,435.00,14.032,,721.72,23.281,"1,711.60",55.21
November,"317,590",317.59,10.586,"78,982",78.98,2.633,"82,838",82.84,2.761,"2,711,000",2.71,0.090,,6.22,0.207,,3.58,0.119,,408.90,13.630,,555.37,18.512,"1,456.19",48.54
December,"297,221",297.22,9.588,"77,256",77.26,2.492,"80,213",80.21,2.588,"2,334,700",2.33,0.075,,6.59,0.213,,5.80,0.187,,414.10,13.358,,510.14,16.456,"1,393.65",44.96
Total Annual,,,,,,,,,,,,,,,,,,,,,,,,,,
(MG),,4078.04,,,1067.05,,,958.63,,,39.89,,,83.32,,,42.49,,,5098.70,,,7093.61,,18461.72,
Average,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,
(MG/Mo),,339.84,,,88.92,,,79.89,,,3.32,,,6.94,,,3.54,,,424.89,,,591.13,,1538.48,
Average,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily,,,,,,,,,,,,,,,,,,,,,,,,,,
(MGD),,11.173,,,2.923,,,2.626,,,0.109,,,0.228,,,0.116,,,13.972,,,19.410,,50.580,
,,,,,,,,,,,,,,,,,,,These figures represent treated water pumped,These figures represent treated water pumped,These figures represent treated water pumped,,,,,
NOTES or,,,,,,,,,,,,,,,,,,,to the City of Portsmouth and Western Branch,to the City of Portsmouth and Western Branch,to the City of Portsmouth and Western Branch,,,,,
,Source: City of Chesapeake,Source: City of Chesapeake,,Source: City of Chesapeake,Source: City of Chesapeake,,Source: City of Chesapeake,Source: City of Chesapeake,,Source: TRO DEQ permit database,Source: TRO DEQ permit database,,Source: DEQ permit database,Source: DEQ permit database,,Source: DEQ permit database,Source: DEQ permit database,,,,,Treated water distributed to the City of Norfolk,Treated water distributed to the City of Norfolk,Treated water distributed to the City of Norfolk,,
COMMENTS:,,,,,,,,,,,,,,,,,,,system in Chesapeake.,It does not include,It does not include,,,,,
,,,,,,,,,,,,,,,,,,,water distributed to Suffolk's Main System.,water distributed to Suffolk's Main System.,water distributed to Suffolk's Main System.,,,,,
"The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.","The monthly water use for the Plantation Mobile Home Park, Sunray Artesain Water Supply, and Sunray Water Company is not available.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,
