Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Community Water Systems: Stream Intake and Spring Sources,Community Water Systems: Stream Intake and Spring Sources,Community Water Systems: Stream Intake and Spring Sources,Community Water Systems: Stream Intake and Spring Sources,Community Water Systems: Stream Intake and Spring Sources,Community Water Systems: Stream Intake and Spring Sources,Community Water Systems: Stream Intake and Spring Sources,,,,,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning,
,,,,,,,,,,,,,,,,,,,,"629 East Main Street,","629 East Main Street,","629 East Main Street,",
,,,,,,,,,Southside Hampton Roads,Southside Hampton Roads,Southside Hampton Roads,Southside Hampton Roads,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218,
,,,,,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,
"List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.",If
"unable to find data or data not applicable, note accordingly.","unable to find data or data not applicable, note accordingly.","unable to find data or data not applicable, note accordingly.","If applicable, mark intakes on associated map.","If applicable, mark intakes on associated map.","If applicable, mark intakes on associated map.","If applicable, mark intakes on associated map.",,,,,,,,,,,,,,,,,
COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70,,,,,,,,,,,,,,,
