Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,
,,,Source Water Assessments and Wellhead Protection,Source Water Assessments and Wellhead Protection,,Office of Water Supply Planning,Office of Water Supply Planning,
,,,Southside Hampton Roads,,,"629 East Main Street,","629 East Main Street,",
,,,,,,"P.O. Box 1105, Richmond, VA",23218,
,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,
Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.",If
"applicable, mark program/plan areas on associated map.","applicable, mark program/plan areas on associated map.","applicable, mark program/plan areas on associated map.",,,,,,
FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,,
(9 VAC 25-780-70K),,,,,,,,
,,Source Water Assessment Plan(s):,,,Wellhead Protection Program(s):,Wellhead Protection Program(s):,,
,,,,Date of,,,,
Locality Name,Date of Plan,,Summary of Findings and Recommendations,,,Summary of Findings and Recommendations,,
,,,,Program,,,,
Chesapeake,,,,,,,,
,,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,,,,,
,,Roads Planning District Commission.,"The Northwest River, Norfolk reservoir",,,,,
,,"systems, Portsmouth reservoir system, and Lake Gaston were determined to","systems, Portsmouth reservoir system, and Lake Gaston were determined to",,,,,
,,,,,A separate wellhead protection program has not be established.,A separate wellhead protection program has not be established.,The Source,
,,have a high susceptibility to contamination.,All of the groundwater wells were,,,,,
City of Chesapeake,8/1/2002,,,NA,Water Assessment Plan addressed the susceptibility and protection of wells,Water Assessment Plan addressed the susceptibility and protection of wells,Water Assessment Plan addressed the susceptibility and protection of wells,
,,determined to have a low susceptibility to contamination.,The SWAP report,,,,,
,,,,,in the region.,,,
,,"contains maps showing the source water assessment areas, and inventory of","contains maps showing the source water assessment areas, and inventory of",,,,,
,,"known land use activities of concern, and documentation of any known","known land use activities of concern, and documentation of any known",,,,,
,,contamination.,,,,,,
Indian River Water Co,,The VDH assessment determined that the wells have a high susceptibility to,The VDH assessment determined that the wells have a high susceptibility to,,,,,
,7/18/2002,,,NI,,,,
"subsidiary of Aqua Virginia, Inc",,contamination.,,,,,,
,,The VDH assessment determined that Wells #1 and #2 have a high,The VDH assessment determined that Wells #1 and #2 have a high,,,,,
VDOC - Saint Brides,,,,,,,,
,7/17/2002,susceptibility to contamination.,Well #3 has a low susceptibility and VDH did,NI,,,,
Correctional Center,,,,,,,,
,,not assess Well #4.,,,,,,
,,The VDH assessment did not assess the wells' susceptibility to contamination.,The VDH assessment did not assess the wells' susceptibility to contamination.,,,,,
Plantation Mobile Home Park,7/17/2002,,,NI,,,,
,,This system is under the Fluoride Consent Order.,,,,,,
,,The VDH assessment determined that the wells have a high susceptibility to,The VDH assessment determined that the wells have a high susceptibility to,,,,,
Sunray Artesian Water Supply,7/17/2002,,,NI,,,,
,,contamination.,,,,,,
,,The VDH assessment determined that the wells have a high susceptibility to,The VDH assessment determined that the wells have a high susceptibility to,,,,,
Sunray Water Co,7/17/2002,,,NI,,,,
,,contamination.,This system is under the Fluoride Consent Order.,,,,,
Naval Support Activity - NW,,The VDH assessment determined that the wells have a low susceptibility to,The VDH assessment determined that the wells have a low susceptibility to,,,,,
,7/31/2002,,,NI,,,,
Annex,,contamination.,,,,,,
Norfolk,,,,,,,,
,,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,,,,,
,,Roads Planning District Commission.,The surface water reservoirs were,,,,,
,,determined to have a high susceptibility to contamination.,All of the,,A separate wellhead protection program has not be established.,A separate wellhead protection program has not be established.,The Source,
City of Norfolk,8/1/2002,groundwater wells were determined to have a low susceptibility to,groundwater wells were determined to have a low susceptibility to,NA,Water Assessment Plan addressed the susceptibility and protection of wells,Water Assessment Plan addressed the susceptibility and protection of wells,Water Assessment Plan addressed the susceptibility and protection of wells,
,,contamination.,The SWAP report contains maps showing the source water,,in the region.,,,
,,"assessment areas, and inventory of known land use activities of concern, and","assessment areas, and inventory of known land use activities of concern, and",,,,,
,,documentation of any known contamination.,,,,,,
Portsmouth,,,,,,,,
,,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,,,,,
,,Roads Planning District Commission.,The surface water reservoirs were,,,,,
,,determined to have a high suspectiblity to contamination.,All of the,,Portsmouth has not completed a separate well head protection plan. A,Portsmouth has not completed a separate well head protection plan. A,Portsmouth has not completed a separate well head protection plan. A,
,,groundwater wells were determined to have a low susceptibility to,groundwater wells were determined to have a low susceptibility to,,separate wellhead protection program has not be established.,separate wellhead protection program has not be established.,The Source,
City of Portsmouth,8/1/2002,,,NA,,,,
,,contamination.,The SWAP report contains maps showing the source water,,Water Assessment Plan addressed the susceptibility and protection of wells,Water Assessment Plan addressed the susceptibility and protection of wells,Water Assessment Plan addressed the susceptibility and protection of wells,
,,"assessment areas, and inventory of known land use activities of concern, and","assessment areas, and inventory of known land use activities of concern, and",,in the region.,,,
,,documentation of any known contamination.,,,,,,
,,,1,,,,,
