Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”,Name: “Table 1 of 1 on page 22 of 32”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,,,,
,,,,"Non-Agricultural, Self-Supplied Users of Surface Water","Non-Agricultural, Self-Supplied Users of Surface Water","Non-Agricultural, Self-Supplied Users of Surface Water",,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,Southside Hampton Roads,,,,,"629 East Main Street,"
,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark"
users on associated map.,"Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.",,,,,
"SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )",,
,,,,,,,,,,Notes or Comments
,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,WATER USE:,
,,,,,,,,,Estimated,(Include service area user falls
,,,,Average Daily,Average Daily,Maximum Daily,Maximum Daily,,Annual Average,within and references to any
,,Waterbody,Use,Withdrawal,Withdrawal,Withdrawals,Withdrawals,Limitations on Withdrawal,(MGD),"maps, data sources, data gaps,"
,Water User Name,Source Name,Category,(gpd),(MGD),(gpd),(MGD),Permit(s),Year 2007,etc.)
,,,Within Community Water System (Municipal & Private) Service Areas,Within Community Water System (Municipal & Private) Service Areas,Within Community Water System (Municipal & Private) Service Areas,Within Community Water System (Municipal & Private) Service Areas,Within Community Water System (Municipal & Private) Service Areas,,,
Chesapeake,,,,,,,,,,
,,Southern Branch Elizabeth,,,,,,,,
Chesapeake Energy Center,,,Pf,NA,0.000,NA,633.600,NA,520.750,Non-consumptive use
,,River,,,,,,,,
Norfolk,,,,,,,,,,
Sewells Point Golf Club,,Irrigation Pond Hole #2,Com,NA,0.000,NA,0.000,NA,0.054,
"Eagle Haven Golf Course, NAB Little Creek","Eagle Haven Golf Course, NAB Little Creek",Lake #3 and #4,Com,NA,0.000,NA,0.000,NA,0.032,
,Norfolk Total,,,,,,,,0.086,
Portsmouth,,,,,,,,,,
Elizabeth Manor Golf Course,,Pond,Com,NI,0.000,NI,0.000,NI,0.039,
Virginia Beach,,,,,,,,,,
Cavalier Golf & Yacht Club,,Irrigation Lake,Com,NI,0.000,NI,0.000,NI,0.045,
Hell's Point Golf Course,,Irrigation Lake,Com,NI,0.000,NI,0.000,NI,0.102,
Heron Ridge Golf Course,,Irrigation Lake,Com,NI,0.000,NI,0.000,NI,0.148,
Princess Anne Country Club,,Pond Withdrawal,Com,NI,0.000,NI,0.000,NI,0.060,
,,Irrigation Lake First Tee,Com,NI,0.000,NI,0.000,NI,,
TPC of Virginia Beach LLC (now Virginia Beach,TPC of Virginia Beach LLC (now Virginia Beach,,,,,,,,,
,,,,,,,,,0.167,
National Golf Course),,Irrigation Lake TPC Pump,,,,,,,,
,,,Com,NI,0.000,NI,0.000,NI,,
,,House,,,,,,,,
Cypress Point Golf Course,,Retention Pond,Com,NI,0.000,NI,0.000,NI,0.073,
Redwing Golf Course,,Redwing Lake,Com,NI,0.000,NI,0.000,NI,0.119,
,Virginia Beach Total,,,,,,,,0.714,
Suffolk,,,,,,,,,,
Cedar Point Golf Course,,6.5 Acre Lake,Com,NI,0.000,NI,0.000,NI,0.074,
,Within Community Water System Service Area Totals (MGD):,Within Community Water System Service Area Totals (MGD):,Within Community Water System Service Area Totals (MGD):,,0.000,,633.600,,521.663,
,,,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,,,
None,,,,,0.000,,0.000,,,
,,,,,0.000,,0.000,,,
,Outside Community Water System Service Area Totals (MGD):,Outside Community Water System Service Area Totals (MGD):,Outside Community Water System Service Area Totals (MGD):,,0.000,,0.000,,0.000,
,Self-Supplied Nonagricultural Users of Surface Water Totals (MGD):,Self-Supplied Nonagricultural Users of Surface Water Totals (MGD):,Self-Supplied Nonagricultural Users of Surface Water Totals (MGD):,,0.000,,633.600,,521.663,
,,,,,1,,,,,
