Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”
Table: 2,Table: 2,Table: 2,Table: 2
,,,
VOLUNTEER FIRE DEPARTMENT,"126,314","124,239",-1.64%
PUBLIC WORKS,"782,184","775,673",-0.83%
PUBLIC BUILDINGS,"197,264","154,680",-21.59%
CONTRIBUTIONS,"441,150","498,084",12.91%
PARKS & RECREATION,"5,000","4,000",-20.00%
NON-DEPARTMENTAL EXPENSES,"55,000","27,500",-50.00%
DEBT SERVICE,"357,615","310,615",-13.14%
TOTAL OPERATING EXPENDITURES,"5,266,470","5,294,915",0.54%
CAPITAL OUTLAY,"1,706,865","910,729",-46.64%
SUB-TOTAL,"6,973,335","6,205,644",-11.01%
TO RESERVES-RESTRICTED,"60,000",-,-100.00%
TOTAL,"7,033,335","6,205,644",-11.77%
ROAD MAINTENANCE,"824,309","824,309",0.00%
GRAND TOTAL,"7,857,644","7,029,953",-10.53%
TOWN OF SMITHFIELD,,,
WATER AND SEWER BUDGET,,,
,REVENUE,,
,Proposed,Proposed,
Budget Revision,Budget Revision,Budget,
FY 2006-2007,FY 2006-2007,FY 2007-2008,
SALE OF WATER,"738,000","744,000",0.81%
DEBT RESERVE REVENUE,"379,000","385,000",1.58%
WATER APPLICATION FEES,"1100, 000000","1100, 000000",0.0000%%
WATER CONNECTION FEES,"66,000","39,600",-40.00%
WATER PRO-RATA SHARE FEES,"60,000",-,-100.00%
WATER AVAILABILITY FEES,"215,000","129,000",-40.00%
SEWER MISCELLANEOUS REVENUES,"2,500",-,0.00%
SEWER CHARGES,"653,000","662,000",1.38%
SEWER CONNECTION FEES,"158,000","63,200",-60.00%
SEWER PRO-RATA SHARE FEES,"60,000",-,-100.00%
SEWER AVAILABILITY FEES,"290,000","116,000",-60.00%
INTEREST,"380,000","380,000",0.00%
TOTAL REVENUE,"3,011,500","2,528,800",-16.03%
FROM SEWER DEVELOPMENT ESCROW,-,"100,000",100.00%
FROM SEWER CAPITAL ESCROW,"203,750",-,-100.00%
FROM SEWER RESERVES,-,-,
FROM BUDGETED SEWER CAPITAL PROJECT ROLLOVERS,"293,265","70,000",-76.13%
FROM WATER RESERVES,-,"184,725",100.00%
CASH PROCEEDS FROM GENERAL OBLIGATION BOND,"3,500,000","3,371,475",-3.67%
TOTAL,"7,008,515","6,255,000",-10.75%
,EXPENDITURES,,
,Proposed,Proposed,
Budget Revision,Budget Revision,Budget,
FY 2006-2007,FY 2006-2007,FY 2007-2008,
